id,nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,citado,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,departamento
1117,Ingrid Salas,Salas I.,57190168802,9-s2.0-57190168802,"",1,19/07/2016,6,6,1,7,new,Medicine (all),2006-2006,Universidad del Cauca,Facultad de Ciencias de la Salud
1118,Oscar Amaury Rojas Alvarado,Alvarado O.,57189604430,9-s2.0-57189604430,"",1,15/06/2016,0,0,0,2,new,"Engineering (miscellaneous), Instrumentation, Software",2007-2007,Universidad del Cauca,""
1119,Lizzeth Katherine Walteros Ordoñez,Walteros Ordoñez L.,57189368841,9-s2.0-57189368841,"",1,02/06/2016,4,4,1,11,update,"Management Science and Operations Research, Management of Technology and Innovation, Business and International Management",2016-2016,Universidad del Cauca,""
1120,Alirio R. Ortiz-Martínez,Ortiz-Martínez A.,57189342803,9-s2.0-57189342803,"",1,31/05/2016,10,10,1,1,new,Obstetrics and Gynecology,2016-2016,Universidad del Cauca,Department of Obstetrics and Gynecology
1121,Marco Fidel Mosquera-Ramírez,Mosquera-Ramírez M.,57189259181,9-s2.0-57189259181,"",1,21/05/2016,2,2,1,4,new,Chemistry (all),2016-2016,Universidad del Cauca,Department of Chemistry
1122,J. Camilo Villegas Cortés,Villegas Cortés J.,57189251474,9-s2.0-57189251474,"",1,20/05/2016,2,2,1,4,update,"Earth and Planetary Sciences (all), Environmental Science (all), Ecology, Ecology, Evolution, Behavior and Systematics",2016-2016,Universidad del Cauca,Grupo de estudios en Geología
1123,Victor Manuel Gomez,Gomez V.,57189218850,9-s2.0-57189218850,"",1,19/05/2016,0,0,0,1,new,"Energy Engineering and Power Technology, Control and Systems Engineering, Computer Science Applications, Electrical and Electronic Engineering",2016-2016,Universidad del Cauca,""
1124,A. Felipe Borrero,Borrero A.,57189143254,9-s2.0-57189143254,"",1,14/05/2016,2,2,1,2,new,"Bioengineering, Biomedical Engineering",2015-2015,Universidad del Cauca,""
1125,Mónica Lised Fuentes Rengifo,Rengifo M.,57189094871,9-s2.0-57189094871,"",1,13/05/2016,0,0,0,3,update,"Education, Linguistics and Language, Language and Linguistics",2015-2015,Universidad del Cauca,Facultad de Ciencias de la Salud
1126,Hector Iván Guerrero Jiménez,Jiménez H.,57189089522,9-s2.0-57189089522,"",1,13/05/2016,0,0,0,3,update,"Linguistics and Language, Education, Language and Linguistics",2015-2015,Universidad del Cauca,Facultad de Ciencias de la Salud
1127,Edwar Alejandro Giraldo Munoz,Munoz E.,57188852040,9-s2.0-57188852040,"",1,28/04/2016,0,0,0,2,update,Computer Science (all),2015-2015,Universidad del Cauca,IDIS Research Group
1128,Yuli Andrea Ordonez Guzman,Guzman Y.,57188847043,9-s2.0-57188847043,"",1,28/04/2016,0,0,0,2,update,Computer Science (all),2015-2015,Universidad del Cauca,IDIS Research Group
1129,Dolly Anacona,Anacona D.,57188844890,9-s2.0-57188844890,"",1,28/04/2016,2,2,1,3,update,Computer Science (all),2015-2015,Universidad del Cauca,Grupo de Investigación IDIS
1130,C. Rincón,Rincón C.,57188654033,9-s2.0-57188654033,"",1,16/04/2016,22,22,1,6,update,"Surfaces, Coatings and Films, Materials Chemistry, Process Chemistry and Technology, Ceramics and Composites, Electronic, Optical and Magnetic Materials",2016-2016,Universidad del Cauca,Department of Physics
1131,Juliana Muñoz-Martínez,Muñoz-Martínez J.,57188647648,9-s2.0-57188647648,"",1,16/04/2016,23,23,1,2,update,"Public Health, Environmental and Occupational Health",2007-2007,Universidad del Cauca,Facultad de Ciencias de la Salud
