id,nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,citado,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,departamento
443,Miguel F. Gutiérrez,Gutiérrez M.,56245649200,9-s2.0-56245649200,"",2,16/07/2014,3,3,1,10,update,"Health Informatics, Biomedical Engineering, Health Information Management",2014-2014,Universidad del Cauca,Department of Telecommunications
444,José A. Hidalgo,Hidalgo J.,56245370600,9-s2.0-56245370600,"",2,16/07/2014,5,5,2,7,update,"Applied Microbiology and Biotechnology, Biotechnology, Health Information Management, Biomedical Engineering, Health Informatics, Bioengineering",2014-2015,Universidad del Cauca,Radio and Wireless Group
445,Rosa E. Álvarez,Álvarez R.,56245145700,9-s2.0-56245145700,"",2,16/07/2014,10,10,1,8,update,"Health Information Management, Medicine (all), Biomedical Engineering, Health Informatics, Nursing (all)",2014-2018,Universidad del Cauca,Applied Human Genetics Research Group
446,Alejandro Cajiao,Cajiao A.,56244768600,9-s2.0-56244768600,"",2,16/07/2014,5,5,2,7,update,"Health Informatics, Bioengineering, Applied Microbiology and Biotechnology, Biotechnology, Health Information Management, Biomedical Engineering",2014-2015,Universidad del Cauca,Radio and Wireless Group
447,Ángela M. Tobar,Tobar A.,56244699100,9-s2.0-56244699100,"",2,16/07/2014,12,12,2,3,update,"Biomedical Engineering, Health Information Management, Health Informatics",2014-2017,Universidad del Cauca,Telematics Department
448,M?nica Mar?a Sinisterra Rodr?guez,Rodr?guez M.,56144658600,9-s2.0-56144658600,0000-0001-6528-8170,2,14/05/2014,1,1,1,0,update,"Management of Technology and Innovation, Economics, Econometrics and Finance (all), Strategy and Management, Social Sciences (miscellaneous), Finance, Business and International Management, Economics and Econometrics, Arts and Humanities (miscellaneous), Marketing",2009-2009,"Universidad del Cauca, Universidad Icesi","Departamento de Ciencias Económicas, Negocios Internacionales"
449,Héctor Alcázar,Alcázar H.,56023077700,9-s2.0-56023077700,"",2,17/02/2014,2,2,1,4,update,"Computer Science (all), Human-Computer Interaction, Computer Networks and Communications, Computer Vision and Pattern Recognition, Software, Electrical and Electronic Engineering",2013-2014,Universidad del Cauca,""
450,Libardo Pantoja,Pantoja L.,56022364700,9-s2.0-56022364700,"",2,17/02/2014,2,2,1,4,update,"Human-Computer Interaction, Computer Science (all), Computer Vision and Pattern Recognition, Computer Networks and Communications, Electrical and Electronic Engineering, Software",2013-2014,Universidad del Cauca,""
451,Edinson Alfonso Solarte Camayo,Camayo E.,55930465400,9-s2.0-55930465400,"",2,28/11/2013,6,6,1,8,update,"Control and Systems Engineering, Computer Science Applications, Software, Information Systems, Information Systems and Management, Mathematics (all)",2013-2015,Universidad del Cauca,""
452,Luís Eduardo Fernández,Fernández L.,55837358200,9-s2.0-55837358200,"",2,06/09/2013,8,8,1,4,update,"Software, Business, Management and Accounting (all)",2007-2008,Universidad del Cauca,""
453,V. Quintero Flórez,Flórez V.,55832608100,9-s2.0-55832608100,"",2,02/09/2013,3,3,1,5,update,"Software, Computer Networks and Communications",2013-2014,Universidad del Cauca,""
454,Ángela Patricia Meneses Muñoz,Muñoz Á.,55792566800,9-s2.0-55792566800,"",2,20/07/2013,3,3,1,7,update,"Medicine (all), Pharmaceutical Science",2001-2013,"Universidad de Antioquia, Universidad del Cauca"," ,  "
455,Fabiola E. González C,González C F.,55665064400,9-s2.0-55665064400,"",2,09/05/2013,24,24,2,11,update,"Microbiology, Infectious Diseases",2018-2019,Universidad del Cauca,Department of Internal Medicine
456,Diana Saavedra-Trujillo,Saavedra-Trujillo D.,55648645600,9-s2.0-55648645600,"",2,20/04/2013,32,32,2,14,update,"Environmental Engineering, Civil and Structural Engineering, Water Science and Technology, Epidemiology, Toxicology, Waste Management and Disposal, Public Health, Environmental and Occupational Health, Pollution, Ecological Modeling",2013-2016,Universidad del Cauca,Department of Biology
457,Diana J. Hurtado,Hurtado D.,55574572600,9-s2.0-55574572600,"",2,11/02/2013,0,0,0,4,update,"Human-Computer Interaction, Computer Networks and Communications, Software, Computer Vision and Pattern Recognition",2012-2012,Universidad del Cauca,Grupo IDIS
458,Otto Gabriel Monzón-Bravo,Monzón-Bravo O.,55567805200,9-s2.0-55567805200,"",2,01/02/2013,1,1,1,7,update,Obstetrics and Gynecology,2012-2013,Universidad del Cauca,Departamento de Ginecología Oncológica
459,Victoria Eugenia Niño Castaño,Niño Castaño V.,55546444900,9-s2.0-55546444900,0000-0002-7726-3613,2,12/01/2013,2,2,1,7,update,"Pollution, Medicine (all), Chemical Engineering (miscellaneous), Process Chemistry and Technology, Waste Management and Disposal",2012-2021,Universidad del Cauca,Department of Pathology
460,Rocío Narváez,Narváez R.,55479357500,9-s2.0-55479357500,"",2,23/11/2012,0,0,0,4,update,"Human-Computer Interaction, Computer Vision and Pattern Recognition, Software, Computer Networks and Communications",2012-2012,Universidad del Cauca,Grupo IDIS
461,Jesús Bermúdes-Roa,Bermúdes-Roa J.,55342432500,9-s2.0-55342432500,"",2,02/09/2012,0,0,0,7,update,Obstetrics and Gynecology,2012-2012,Universidad del Cauca,Hospital de San José - Fundación Universitaria de Ciencias de la Salud (FUCS)
463,Julián Andrés Zúñiga,Zúñiga J.,55316837000,9-s2.0-55316837000,"",2,28/07/2012,2,2,1,3,update,"Information Systems, Computer Science (all), Software, Computer Networks and Communications, Theoretical Computer Science",2012-2014,Universidad del Cauca,Telematics Engineering Research Group
464,Edgar Camilo Pedraza,Pedraza E.,55316817800,9-s2.0-55316817800,"",2,28/07/2012,2,2,1,3,update,"Computer Networks and Communications, Theoretical Computer Science, Software, Computer Science (all), Information Systems",2012-2014,Universidad del Cauca,Telematics Engineering Research Group
465,J. C. Collazos,Collazos J.,55249664600,9-s2.0-55249664600,"",2,22/06/2012,3,3,1,9,update,"Condensed Matter Physics, Electronic, Optical and Magnetic Materials",2012-2014,Universidad del Cauca,""
466,David Alejandro Alejandro Mera Mera-Benavides,Mera-Benavides D.,55228843800,9-s2.0-55228843800,"",2,01/06/2012,3,3,1,1,update,"Multidisciplinary, Environmental Science (all), Education",2011-2017,Universidad del Cauca,""
467,Axel Rojas,Rojas A.,55059846300,9-s2.0-55059846300,"",2,15/03/2012,5,5,1,1,update,"Cultural Studies, Archeology (arts and humanities), History, Anthropology",2011-2020,Universidad del Cauca,Department of Anthropology
468,Alicia Lucía Ballesteros Calderón,Calderón A.,54989318200,9-s2.0-54989318200,"",2,03/03/2012,3,3,1,6,update,Medicine (all),2012-2013,Universidad del Cauca,""
469,Sofía Isabel Freyre-Bernal,Freyre-Bernal S.,54405277100,9-s2.0-54405277100,"",2,07/12/2011,0,0,0,8,update,"Medicine (all), Agricultural and Biological Sciences (all)",2011-2018,Universidad del Cauca,Department of Physiological Sciences
470,Víctor Alberto Hermida,Hermida V.,38661248000,9-s2.0-38661248000,"",2,11/06/2011,0,0,0,7,update,"Software, Engineering (all)",2007-2011,Universidad del Cauca,""
471,Juan Correa Pino Juan Carlos,Juan Carlos J.,37097040100,9-s2.0-37097040100,"",2,12/05/2011,2,2,1,1,update,"Social Sciences (all), Arts and Humanities (all), Public Administration",2009-2011,"Universidad de Castilla-La Mancha, ECCO, Universidad del Cauca"," ,  , Departamento de Comunicación Social"
472,Isabel Zambrano-Muñoz,Zambrano-Muñoz I.,36987033400,9-s2.0-36987033400,0000-0001-8092-4577,2,06/03/2011,13,13,1,9,update,"Pediatrics, Perinatology and Child Health, Public Health, Environmental and Occupational Health",2010-2018,Universidad del Cauca,""
473,Zamanda Correa-Correa,Correa-Correa Z.,36986692900,9-s2.0-36986692900,"",2,06/03/2011,15,15,2,4,update,"Finance, Strategy and Management, Management of Technology and Innovation, Public Health, Environmental and Occupational Health, Marketing, Economics and Econometrics, Business and International Management",2010-2013,Universidad del Cauca,"Faculty of Accounting, Economics and Management Sciences"
474,Jorge A. Jaramillo,Jaramillo J.,36145228400,9-s2.0-36145228400,"",2,07/07/2010,18,18,2,9,update,Medicine (all),2010-2013,Universidad del Cauca,School of Civil Engineering
475,Roberto Carlos Naranjo Cuervo,Cuervo R.,36052506100,9-s2.0-36052506100,"",2,27/05/2010,1,1,1,2,update,"Software, Education, Building and Construction, Human-Computer Interaction, Engineering (all)",2009-2010,Universidad del Cauca,""
476,María Fernanda Mejía,Mejía M.,35759258100,9-s2.0-35759258100,"",2,11/04/2010,13,13,1,5,update,"Electrical and Electronic Engineering, Applied Mathematics, Computer Science (all), Computational Theory and Mathematics, Control and Systems Engineering",2009-2010,Universidad del Cauca,""
477,Alejandro Erazo,Erazo A.,35213303300,9-s2.0-35213303300,"",2,24/12/2009,17,17,1,6,update,"Materials Science (all), Control and Systems Engineering, Electrical and Electronic Engineering, Condensed Matter Physics",2009-2019,Universidad del Cauca,Grupo Ciencia y Tecnología de Biomoléculas de interés Agroindustrial – CYTBIA
478,Juan M. Concha,Concha J.,35094945700,9-s2.0-35094945700,"",2,01/11/2009,49,49,2,7,update,"Medicine (all), Pharmacology (medical), Orthopedics and Sports Medicine",2010-2016,Universidad del Cauca,Departamento de Ciencias Quirúrgicas
479,Marcelo Mamián,Mamián M.,33068097000,9-s2.0-33068097000,"",2,30/08/2009,30,30,1,4,update,"Education, Electrochemistry",2009-2018,Universidad del Cauca,""
480,Bernardo Ramírez,Ramírez B.,24475272200,9-s2.0-24475272200,"",2,07/08/2008,26,26,2,5,update,"Chemistry (all), Nutrition and Dietetics, Molecular Medicine, Food Science, Biotechnology, Bioengineering, Molecular Biology, Biochemistry, Agronomy and Crop Science",2011-2013,Universidad del Cauca,Department of Biology
481,Nathalie Marcela Cerón,Cerón N.,23476705600,9-s2.0-23476705600,"",2,17/02/2008,1,1,1,5,update,"Ceramics and Composites, Industrial and Manufacturing Engineering, Engineering (all), Mechanics of Materials",2007-2008,Universidad del Cauca,Department of Physics
482,Eliana Aguilar Larrarte,Larrarte E.,23060913400,9-s2.0-23060913400,"",2,20/12/2007,4,4,2,2,update,"Computer Vision and Pattern Recognition, Signal Processing, Computer Science Applications, Mechanical Engineering, Artificial Intelligence, Control and Systems Engineering, Software",2007-2016,Universidad del Cauca,Electronics and Telecommunication Faculty
483,TomáS Zamora,Zamora T.,23045775800,9-s2.0-23045775800,"",2,18/12/2007,31,33,2,5,update,"Multidisciplinary, Oncology, Cancer Research",1990-1990,Universidad del Cauca,Department of Neurology
484,Jesús Eduardo Díaz-Realpe,Díaz-Realpe J.,16315932200,9-s2.0-16315932200,"",2,31/05/2007,23,23,1,8,update,"Public Health, Environmental and Occupational Health, Surgery",2007-2021,Universidad del Cauca,Departamento de Ciencias Quirúrgicas
485,Eduardo Argote,Argote E.,14025410000,9-s2.0-14025410000,"",2,07/08/2006,5,5,1,8,update,Medicine (all),1999-2005,Universidad del Cauca,Department of Internal Medicine
486,María F. Dulcey,Dulcey M.,8941050000,9-s2.0-8941050000,"",1,29/11/2005,12,12,1,7,update,"Bioengineering, Media Technology, Medicine (all), Nursing (all)",2005-2005,Universidad del Cauca,Telematics Department
487,Belisario Bravo Orozco,Bravo Orozco B.,8908918100,9-s2.0-8908918100,"",1,29/11/2005,1,1,1,3,update,"Electrical and Electronic Engineering, Condensed Matter Physics",2005-2005,Universidad del Cauca,Optical and Laser Group
488,Navia Carlos A. Ramirez,Ramirez N.,8908918000,9-s2.0-8908918000,"",1,29/11/2005,1,1,1,3,update,"Electrical and Electronic Engineering, Condensed Matter Physics",2005-2005,Universidad del Cauca,Optical and Laser Group
489,Mosso Solano Edward Fabían,Fabían M.,8879407800,9-s2.0-8879407800,"",1,29/11/2005,0,0,0,2,update,"Electrical and Electronic Engineering, Condensed Matter Physics",2005-2005,Universidad del Cauca,Optical and Laser Group
490,León Téllez Jaury,Jaury L.,8879407700,9-s2.0-8879407700,"",1,29/11/2005,0,0,0,2,update,"Condensed Matter Physics, Electrical and Electronic Engineering",2005-2005,Universidad del Cauca,Optical and Laser Group
491,Gallego Soltelo Jose Luis,Luis G.,8879407600,9-s2.0-8879407600,"",1,29/11/2005,0,0,0,2,update,"Condensed Matter Physics, Electrical and Electronic Engineering",2005-2005,Universidad del Cauca,Optical and Laser Group
492,Liz Betty Garcíad,Garcíad L.,8455100800,9-s2.0-8455100800,"",1,02/12/2005,6,6,1,2,update,"",2004-2004,Universidad del Cauca,Facultad de Ciencias de la Salud
494,C. Zambrano Velasco,Zambrano Velasco C.,8384244000,9-s2.0-8384244000,"",1,29/11/2005,2,2,1,3,update,"Electrical and Electronic Engineering, Condensed Matter Physics",2004-2004,Universidad del Cauca,Department of Physics
495,L. O. de Castro,de Castro L.,7006438406,9-s2.0-7006438406,"",1,28/11/2005,0,0,0,2,update,Obstetrics and Gynecology,1995-1995,Universidad del Cauca,Depto de Patologia
496,L. O. Vergara,Vergara L.,7005609863,9-s2.0-7005609863,"",1,28/11/2005,0,0,0,2,update,Obstetrics and Gynecology,1974-1974,Universidad del Cauca,Department of Obstetrics and Gynecology
497,A. Vasquez,Vasquez A.,7004778755,9-s2.0-7004778755,"",1,04/12/2005,0,0,0,4,update,Hematology,1983-1983,Universidad del Cauca,Departmento de Medicina Interna
498,F. Correa,Correa F.,7004445345,9-s2.0-7004445345,"",1,04/12/2005,0,0,0,4,update,Hematology,1983-1983,Universidad del Cauca,Departmento de Medicina Interna
499,R. A. Jaramillo,Jaramillo R.,7003428099,9-s2.0-7003428099,"",1,04/12/2005,0,0,0,0,update,Medicine (all),1977-1977,Universidad del Cauca,Department of Psychiatry
500,Jaramillo Hurtado Byron,Byron J.,7003385322,9-s2.0-7003385322,"",1,03/12/2005,0,0,0,3,update,"Mechanical Engineering, Artificial Intelligence",2014-2014,Universidad del Cauca,Electronics
501,M. I. de Bravo,de Bravo M.,6602709580,9-s2.0-6602709580,"",1,02/12/2005,0,0,0,2,update,Obstetrics and Gynecology,1995-1995,Universidad del Cauca,Depto de Patologia
502,J. A. Negret,Negret J.,6602408857,9-s2.0-6602408857,"",1,28/11/2005,28,28,1,2,update,Paleontology,2000-2000,Universidad del Cauca,Museo de Historia Natural
503,Leonor Paz-Gómez,Paz-Gómez L.,6508366880,9-s2.0-6508366880,"",1,03/12/2005,2,2,1,0,update,Demography,2010-2010,Universidad del Cauca,""
504,Claudia F.R. Villaquirán,Villaquirán C.,6506677086,9-s2.0-6506677086,"",1,02/12/2005,0,0,0,4,update,"Materials Science (all), Industrial and Manufacturing Engineering",2016-2016,Universidad del Cauca,Grupo de Ciencia y Tecnología de Materiales Cerámicos (CYTEMAC)
505,D. Galves,Galves D.,6505738235,9-s2.0-6505738235,"",1,01/12/2005,0,0,0,4,update,Hematology,1983-1983,Universidad del Cauca,Departmento de Medicina Interna
506,Alejandro Muñoz Olano,Muñoz Olano A.,6505552102,9-s2.0-6505552102,"",1,02/12/2005,2,2,1,2,update,Dermatology,2003-2003,Universidad del Cauca,Department of Internal Medicine
507,A. J. Solorza,Solorza A.,6504765238,9-s2.0-6504765238,"",1,01/12/2005,0,0,0,1,update,Dermatology,1988-1988,Universidad del Cauca,""
508,J. C. Payan de la Roche,Payan de la Roche J.,6504483965,9-s2.0-6504483965,"",1,02/12/2005,0,0,0,2,update,Obstetrics and Gynecology,1974-1974,Universidad del Cauca,Department of Obstetrics and Gynecology
509,C. Tenorio Caicedo,Tenorio Caicedo C.,6504218873,9-s2.0-6504218873,"",1,01/12/2005,0,0,0,2,update,Obstetrics and Gynecology,1974-1974,Universidad del Cauca,Department of Obstetrics and Gynecology
510,José Dulcey,Dulcey J.,6504213093,9-s2.0-6504213093,"",1,02/12/2005,44,44,1,2,update,"Arts and Humanities (miscellaneous), Neurology (clinical)",1979-1979,Universidad del Cauca,""
511,L. Zambrano-Polanco,Zambrano-Polanco L.,6504095922,9-s2.0-6504095922,"",1,28/11/2005,13,13,1,5,update,"Agronomy and Crop Science, Plant Science",2000-2000,Universidad del Cauca,""
512,Stella Dulcey,Dulcey S.,6504050587,9-s2.0-6504050587,"",1,02/12/2005,44,44,1,2,update,"Neurology (clinical), Arts and Humanities (miscellaneous)",1979-1979,Universidad del Cauca,""
513,Liliana Paz Betancourt,Betancourt L.,57329296900,9-s2.0-57329296900,"",1,16/11/2021,0,0,0,4,new,"Food Science, Agronomy and Crop Science, Plant Science",2021-2021,Universidad del Cauca,Exact and Educational Sciences
514,Héctor Samuel Villada-Castillo,Villada-Castillo H.,16040915900,9-s2.0-16040915900,0000-0002-5557-3215,44,24/03/2007,196,214,8,71,update,"Instrumentation, Agricultural and Biological Sciences (all), Molecular Biology, Fluid Flow and Transfer Processes, Chemical Engineering (all), Geography, Planning and Development, Pharmacology, Toxicology and Pharmaceutics (miscellaneous), Computer Science (all), Strategy and Management, Food Science, Polymers and Plastics, Materials Science (all), Business and International Management, Applied Microbiology and Biotechnology, Management of Technology and Innovation, Business, Management and Accounting (all), Organic Chemistry, Multidisciplinary, Energy (all), Engineering (miscellaneous), Management Science and Operations Research, Education, Geotechnical Engineering and Engineering Geology, Biochemistry, Cultural Studies, Chemistry (all), Engineering (all), Management, Monitoring, Policy and Law, Social Psychology, Process Chemistry and Technology, Structural Biology, Industrial and Manufacturing Engineering, Biotechnology, Computer Science Applications",2006-2021,Universidad del Cauca,""
515,Gustavo Ramírez-Gonzales,Ramírez-Gonzales G.,57327637300,9-s2.0-57327637300,"",1,15/11/2021,0,0,0,3,new,"Molecular Biology, Structural Biology, Biochemistry",2021-2021,Universidad del Cauca,Telematics Department
516,Angélica L. Astaiza-Puerta,Astaiza-Puerta A.,57325027200,9-s2.0-57325027200,"",1,11/11/2021,0,0,0,4,new,Medicine (all),2021-2021,Universidad del Cauca,""
517,Valentina Patiño-Pérez,Patiño-Pérez V.,57323903000,9-s2.0-57323903000,"",1,11/11/2021,0,0,0,4,new,Medicine (all),2021-2021,Universidad del Cauca,""
518,Leydy Lorena Mendoza-Tobar,Mendoza-Tobar L.,57323329300,9-s2.0-57323329300,"",1,10/11/2021,0,0,0,3,new,"Toxicology, Health, Toxicology and Mutagenesis",2021-2021,"Universidad Tecnológica de Pereira, Universidad del Cauca","Programa de Doctorado en Ciencias Biomédicas, Department of Biology"
519,Odín Ávila Rojas,Rojas O.,57318337600,9-s2.0-57318337600,"",1,05/11/2021,0,0,0,1,new,"Political Science and International Relations, Sociology and Political Science, History",2021-2021,Universidad del Cauca,""
520,Cristal Ximena Gallego,Gallego C.,57312694800,9-s2.0-57312694800,"",1,02/11/2021,2,2,1,3,new,Obstetrics and Gynecology,2017-2017,"Universidad del Valle, Universidad del Cauca"," , Docente del Departamento de Ginecología y Obstetricia"
521,J. Londoño-Prieto,Londoño-Prieto J.,57311472700,9-s2.0-57311472700,"",1,01/11/2021,0,0,0,2,new,"Physical Therapy, Sports Therapy and Rehabilitation",2021-2021,Universidad del Cauca,Departamento de Fisioterapia
522,J. D. Rosero-Herrera,Rosero-Herrera J.,57310560100,9-s2.0-57310560100,"",1,01/11/2021,0,0,0,2,new,"Physical Therapy, Sports Therapy and Rehabilitation",2021-2021,Universidad del Cauca,Estudiante Maestría en Automática
523,Maria I. Benitez-Salazar,Benitez-Salazar M.,57300057100,9-s2.0-57300057100,"",1,24/10/2021,0,0,0,5,new,"Process Chemistry and Technology, Chemical Engineering (miscellaneous), Waste Management and Disposal, Pollution",2021-2021,Universidad del Cauca,Department of Physics
524,Liliana Caldas-Arias,Caldas-Arias L.,57299326400,9-s2.0-57299326400,"",1,24/10/2021,0,0,0,5,new,"Process Chemistry and Technology, Pollution, Waste Management and Disposal, Chemical Engineering (miscellaneous)",2021-2021,Universidad del Cauca,Department of Internal Medicine
592,Oscar Rodríguez-Bastidas,Rodríguez-Bastidas O.,57224971096,9-s2.0-57224971096,"",1,02/07/2021,0,0,0,1,new,Engineering (all),2020-2020,Universidad del Cauca,""
526,Luis L. Moreno-Montenegro,Moreno-Montenegro L.,57296190100,9-s2.0-57296190100,"",1,23/10/2021,0,0,0,5,new,Obstetrics and Gynecology,2021-2021,Universidad del Cauca,Servicio de Pediatría
527,Daniela Torres-Hernández,Torres-Hernández D.,57296190000,9-s2.0-57296190000,"",1,23/10/2021,0,0,0,5,new,Obstetrics and Gynecology,2021-2021,Universidad del Cauca,Servicio de Pediatría
528,Juan J. Rosero,Rosero J.,57292345000,9-s2.0-57292345000,"",1,18/10/2021,0,0,0,3,new,"Biomedical Engineering, Mechanical Engineering, Artificial Intelligence",2022-2022,Universidad del Cauca,""
529,María A. Gutiérrez,Gutiérrez M.,57292118400,9-s2.0-57292118400,"",1,18/10/2021,0,0,0,3,new,"Biomedical Engineering, Mechanical Engineering, Artificial Intelligence",2022-2022,Universidad del Cauca,""
530,Andrés Mauricio Gómez-Sánchez,Gómez-Sánchez A.,57286025200,9-s2.0-57286025200,"",1,15/10/2021,0,0,0,2,new,"Development, Geography, Planning and Development",2021-2021,"Universidad del Cauca, Universitat de València","Departamento de Ciencias Económicas, Faculty of Economics"
531,Carmenza López-Patiño,López-Patiño C.,57278625800,9-s2.0-57278625800,"",1,06/10/2021,0,0,0,3,new,"Medicine (miscellaneous), Food Science",2021-2021,"Universidad del Cauca, Universidad Pública de Navarra","Agroindustry Department, Institute for Innovation & Sustainable Development in Food Chain"
532,Juan D. Muñoz-Bolaños,Muñoz-Bolaños J.,57278113600,9-s2.0-57278113600,"",1,05/10/2021,0,0,0,1,new,"Mechanical Engineering, Condensed Matter Physics, Materials Science (all), Mechanics of Materials",2021-2021,Universidad del Cauca,Department of Physics
533,Juan David Romo,Romo J.,57275313800,9-s2.0-57275313800,"",1,01/10/2021,0,0,0,4,new,"Electrical and Electronic Engineering, Signal Processing, Control and Systems Engineering, Hardware and Architecture, Computer Networks and Communications",2021-2021,Universidad del Cauca,Telematics Department
534,Julián Hurtado-Gómez,Hurtado-Gómez J.,57274881000,9-s2.0-57274881000,"",1,01/10/2021,0,0,0,4,new,"Computer Networks and Communications, Hardware and Architecture, Electrical and Electronic Engineering, Control and Systems Engineering, Signal Processing",2021-2021,Universidad del Cauca,Telematics Department
535,Paola Sáenz-Castro,Sáenz-Castro P.,57266217300,9-s2.0-57266217300,"",1,25/09/2021,0,0,0,2,new,"Developmental and Educational Psychology, Physical Therapy, Sports Therapy and Rehabilitation, Education, Computer Science (miscellaneous), Public Administration, Computer Science Applications",2021-2021,Universidad del Cauca,Proyecto Unidad Pedagógica de las Licenciaturas
536,Lucia I. Arroyo,Arroyo L.,57255198000,9-s2.0-57255198000,0000-0002-1261-6297,1,16/09/2021,1,1,1,8,update,Medicine (all),2021-2021,"Pontificia Universidad Javeriana, Cali, Universidad del Cauca","MPH programme Public Health, Departamento de Fonoaudiología"
537,Yaneth Lorena Garcés-Burbano,Garcés-Burbano Y.,57250997600,9-s2.0-57250997600,"",1,12/09/2021,0,0,0,5,new,Obstetrics and Gynecology,2021-2021,Universidad del Cauca,""
538,Mónica Alejandra Rodríguez-Gamboa,Rodríguez-Gamboa M.,57250881600,9-s2.0-57250881600,"",1,12/09/2021,0,0,0,5,new,Obstetrics and Gynecology,2021-2021,Universidad del Cauca,""
539,Oscar Enrique Ordoñez-Mosquera,Ordoñez-Mosquera O.,57250412500,9-s2.0-57250412500,"",1,12/09/2021,0,0,0,5,new,Obstetrics and Gynecology,2021-2021,"Hospital de San José, Universidad del Cauca","Service of Gynaecology and Obstetrics,  "
540,Ana M. Bolaños-Portilla,Bolaños-Portilla A.,57248346500,9-s2.0-57248346500,"",1,10/09/2021,1,1,1,8,new,"Biochemistry, Genetics and Molecular Biology (all), Veterinary (all), Agricultural and Biological Sciences (all)",2021-2021,Universidad del Cauca,Department of Social Medicine and Family Health
541,Luis Miguel Delgado Ordonez,Delgado Ordonez L.,57247858100,9-s2.0-57247858100,"",1,10/09/2021,0,0,0,2,new,"Computer Science (all), Materials Science (all), Engineering (all)",2021-2021,Universidad del Cauca,Doctorado en Ciencias Matemáticas
542,Carlos Alberto Trujillo Solarte,Trujillo Solarte C.,57246995300,9-s2.0-57246995300,"",1,10/09/2021,0,0,0,2,new,"Engineering (all), Materials Science (all), Computer Science (all)",2021-2021,Universidad del Cauca,Department of Mathematics
543,Luis Reinel Vásquez-Arteaga,Vásquez-Arteaga L.,12765371300,9-s2.0-12765371300,0000-0003-3538-6313,8,16/03/2006,73,76,3,24,update,"Medicine (all), Microbiology, Neuroscience (all), Parasitology, Public Health, Environmental and Occupational Health, Infectious Diseases, Agricultural and Biological Sciences (all), Biochemistry, Genetics and Molecular Biology (all)",2005-2021,Universidad del Cauca,""
544,Julián Sarmiento,Sarmiento J.,57242716500,9-s2.0-57242716500,"",1,07/09/2021,0,0,0,23,new,Surgery,2021-2021,Universidad del Cauca,Department of Surgery
545,Jhonatan Alexander Moreno-Delacruz,Moreno-Delacruz J.,57238700300,9-s2.0-57238700300,"",1,04/09/2021,0,0,0,2,new,"Engineering (all), Education",2021-2021,Universidad del Cauca,""
546,Gustavo Adolfo Alegría-Fernández,Alegría-Fernández G.,57229784700,9-s2.0-57229784700,"",1,01/09/2021,0,0,0,3,new,"Agronomy and Crop Science, Plant Science, Animal Science and Zoology, Environmental Science (all)",2021-2021,Universidad del Cauca,Facultad de Ciencias Agrarias
547,Beatriz E. Paz-Córdoba,Paz-Córdoba B.,57226872521,9-s2.0-57226872521,"",1,24/08/2021,0,0,0,6,new,"Public Health, Environmental and Occupational Health, Health Policy",2021-2021,Universidad del Cauca,Department of Pediatrics
548,Tatiana Henao-Pabón,Henao-Pabón T.,57226855081,9-s2.0-57226855081,"",1,24/08/2021,0,0,0,6,new,"Health Policy, Public Health, Environmental and Occupational Health",2021-2021,Universidad del Cauca,Department of Pediatrics
549,Edgar Sanclemente,Sanclemente E.,57226809326,9-s2.0-57226809326,"",1,21/08/2021,0,0,0,5,new,Nephrology,2021-2021,Universidad del Cauca,Department of Internal Medicine
550,Laura Palomino Gómez,Gómez L.,57226780425,9-s2.0-57226780425,"",1,20/08/2021,0,0,0,1,new,"Conservation, Museology",2021-2021,Universidad del Cauca,""
551,W. A. Ocampo,Ocampo W.,57226775835,9-s2.0-57226775835,"",1,20/08/2021,1,1,1,2,new,"Building and Construction, Materials Science (all), Civil and Structural Engineering",2001-2001,Universidad del Cauca,Department of Environmental Engineering
552,Edgar Alfonso Castro Franco,Castro Franco E.,57226754935,9-s2.0-57226754935,"",1,19/08/2021,0,0,0,10,new,Rheumatology,2021-2021,Universidad del Cauca,Departamento de Medicina Social y Salud Familiar
553,Jorge Andrés Rosero Narváez,Rosero Narváez J.,57226748598,9-s2.0-57226748598,"",1,19/08/2021,0,0,0,10,new,Rheumatology,2021-2021,Universidad del Cauca,Programa de Medicina
554,Eva González-Tanco,González-Tanco E.,57226748485,9-s2.0-57226748485,"",1,19/08/2021,0,0,0,0,new,"Arts and Humanities (all), Social Sciences (all)",2021-2021,Universidad del Cauca,""
555,Giovanna Maritza Cortés Bolaños,Cortés Bolaños G.,57226747262,9-s2.0-57226747262,"",1,19/08/2021,0,0,0,10,new,Rheumatology,2021-2021,Universidad del Cauca,Programa de Medicina
691,Jaime Alvarez Soler,Soler J.,57220043201,9-s2.0-57220043201,"",1,30/11/2020,0,0,0,1,new,"Mathematics (all), Computer Science (all)",2020-2020,Universidad del Cauca,""
556,María Verónica Castro Andrade,Castro Andrade M.,57226744068,9-s2.0-57226744068,"",1,19/08/2021,0,0,0,10,new,Rheumatology,2021-2021,Universidad del Cauca,Department of Physiotherapy
557,Diana Karolina Rodríguez Cerón,Rodríguez Cerón D.,57226744005,9-s2.0-57226744005,"",1,19/08/2021,0,0,0,10,new,Rheumatology,2021-2021,Universidad del Cauca,Programa de Medicina
558,Alex Jhonier Imbachí Salamanca,Imbachí Salamanca A.,57226741139,9-s2.0-57226741139,"",1,19/08/2021,0,0,0,10,new,Rheumatology,2021-2021,Universidad del Cauca,Department of Internal Medicine
