nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento
Gabriel E. Chanchí Golondrin,Chanchí Golondrin G.,57205076688,9-s2.0-57205076688,,1,20/12/2018,2,2,1,2,new,"Education, Computer Science Applications",2018-2018,Institución Universitaria Colegio Mayor del Cauca,117795037,
Diana C. Muñoz,Muñoz D.,36480346500,9-s2.0-36480346500,,1,25/09/2010,15,15,1,4,update,"Biomedical Engineering, Health Informatics, Health Information Management",2010-2010,Universidad del Cauca,106022286,Software Engineering Research Group
Jhon Sebastián Valencia-Guampe,Valencia-Guampe J.,58143405600,9-s2.0-58143405600,,1,22/03/2023,0,0,0,6,new,"Nursing (all), Psychology (all), Medicine (all)",2020-2020,Universidad del Cauca,60051434,
Angela Rodriguez-Vivas,Rodriguez-Vivas A.,57222224472,9-s2.0-57222224472,,2,09/03/2021,1,1,1,6,update,"Biochemistry, Atomic and Molecular Physics, and Optics, Information Systems, Instrumentation, Analytical Chemistry, Electrical and Electronic Engineering",2021-2022,Universidad del Cauca,60051434,
Hugo Alexander Garcés,Garcés H.,58039029800,9-s2.0-58039029800,,1,06/01/2023,0,0,0,2,new,"Law, Sociology and Political Science",2022-2022,"Universitat de Barcelona, Universidad del Cauca","60001576, 60051434"," ,  "
Bernardo Ramiro Ramírez-Padilla,Ramírez-Padilla B.,57220786728,9-s2.0-57220786728,,1,19/12/2020,7,7,1,4,new,Nature and Landscape Conservation,2020-2020,Universidad del Cauca,125537966,Grupo de Estudios sobre Diversidad Vegetal Sachawaira
Betsy M. Ledezma,Ledezma B.,57202157889,9-s2.0-57202157889,0000-0003-1805-3461,1,29/05/2018,4,4,1,3,update,"Public Health, Environmental and Occupational Health",2017-2017,Universidad del Cauca,104717551,Departamento de Fisioterapia
Merchán Galvis Angela,Angela M.,57742357600,9-s2.0-57742357600,,1,21/06/2022,3,3,1,13,new,Medicine (all),2019-2019,"Institut dInvestigació Biomèdica Sant Pau (IIB Sant Pau), Universidad del Cauca","113295050, 122436003","Department of Clinical Epidemiology and Public Health, Departamento de Medicina Social y Salud Familiar"
Gloria Daza,Daza G.,57203113277,9-s2.0-57203113277,,1,31/07/2018,6,6,1,7,new,"Computer Science (all), Theoretical Computer Science",2018-2018,Universidad del Cauca,105194737,IDIS Research Group
León Téllez Jaury,Jaury L.,8879407700,9-s2.0-8879407700,,1,29/11/2005,0,0,0,2,update,"Condensed Matter Physics, Electrical and Electronic Engineering",2005-2005,Universidad del Cauca,104717545,Optical and Laser Group
Gustavo Moreno,Moreno G.,57218384452,9-s2.0-57218384452,,1,09/08/2020,4,4,1,3,new,"Computer Networks and Communications, Information Systems",2020-2020,Universidad del Cauca,60051434,
Paula A. Rosero,Rosero P.,57951988700,9-s2.0-57951988700,,1,15/11/2022,2,2,1,5,update,"Health Information Management, Biomedical Engineering, Health Informatics",2022-2022,Universidad del Cauca,104717554,Telematics Department
A. M. Guzman,Guzman A.,57193216468,9-s2.0-57193216468,,1,15/02/2017,4,4,1,3,update,"Industrial and Manufacturing Engineering, Ceramics and Composites, Mechanics of Materials",2008-2008,Universidad del Cauca,104717550,Grupo de Ciencia y Tecnología de Materiales Cerámicos (CYTEMAC)
María Cristina Ordoñez,Ordoñez M.,56915461400,9-s2.0-56915461400,0000-0001-8441-4179,6,31/10/2015,17,18,3,7,update,"Soil Science, Food Science, Ecology, Plant Science, Agronomy and Crop Science, Insect Science, Ecology, Evolution, Behavior and Systematics, Microbiology, Forestry, Ecological Modeling",2015-2022,"Fundacion Universitaria de Popayán, Universidad Nacional Autónoma de México","128115371, 104652508","Unidad de Investigación en Ecología Tropical Uniet, Departamento de Geografía Física"
Marta Cecilia Camacho Ojeda,Ojeda M.,57203309754,9-s2.0-57203309754,,8,14/08/2018,8,9,2,14,update,"Instrumentation, Computer Networks and Communications, Information Systems, Computer Science Applications, Materials Science (all), Computer Science (all), Urban Studies, Process Chemistry and Technology, Software, Artificial Intelligence, Fluid Flow and Transfer Processes, Transportation, Information Systems and Management, Health Informatics, Engineering (all)",2012-2021,Institución Universitaria Colegio Mayor del Cauca,126682182,
Astrid Adriana Anacona,Anacona A.,57215504766,9-s2.0-57215504766,,1,13/03/2020,0,0,0,2,new,Computer Science (all),2020-2020,Institución Universitaria Colegio Mayor del Cauca,113372863,
Edier Anchico Silva,Silva E.,57211905715,9-s2.0-57211905715,,1,26/11/2019,1,1,1,4,new,Computer Science (all),2019-2019,Fundacion Universitaria de Popayán,118671342,Intelligent Management Systems
Mónica López Escobar,López Escobar M.,57941035400,9-s2.0-57941035400,,1,31/10/2022,0,0,0,2,new,"Critical Care Nursing, Advanced and Specialized Nursing, Critical Care and Intensive Care Medicine, Anesthesiology and Pain Medicine",2018-2018,"Clínica Santa Gracia, Universidad del Valle, Cali","128778956, 121361073"," , Especialista en Fisioterapia Cardiopulmonar"
M. H. Chavez-Acosta,Chavez-Acosta M.,57211838438,9-s2.0-57211838438,,1,21/11/2019,3,3,1,12,update,Drug Discovery,2019-2019,Universidad del Cauca,104717530,Department of Biology
Camilo Narváez,Narváez C.,57219200666,9-s2.0-57219200666,,1,02/10/2020,9,9,1,4,new,"Information Systems and Management, Artificial Intelligence, Software, Management Information Systems",2020-2020,Universidad del Cauca,112027538,Department of Computer Science
Guillermo Julián Sarmiento,Sarmiento G.,57423718800,9-s2.0-57423718800,,1,29/01/2022,0,0,0,4,new,Surgery,2022-2022,Universidad del Cauca,105463331,Departamento de Ciencias Quirúrgicas
Evelyn Melissa Alegría Vivas,Alegría Vivas E.,57733189500,9-s2.0-57733189500,,1,14/06/2022,2,2,1,6,new,"Chemical Engineering (all), Safety, Risk, Reliability and Quality, Industrial and Manufacturing Engineering, Food Science",2022-2022,Universidad del Cauca,104717562,Departamento de Agroindustria
David Alejandro Sandoval,Sandoval D.,57214219003,9-s2.0-57214219003,,1,01/02/2020,0,0,0,3,new,"Computer Science (all), Control and Systems Engineering",2020-2020,Corporación Universitaria Comfacauca,119181814,
Jorge Alberto López-Guzmán,López-Guzmán J.,57441853000,9-s2.0-57441853000,0000-0001-8538-4004,1,11/02/2022,0,0,0,0,update,"Arts and Humanities (all), Social Sciences (all)",2018-2018,Universidad del Cauca,60051434,
Luis Antonio Rojas-Potosí,Rojas-Potosí L.,55335025900,9-s2.0-55335025900,,5,21/08/2012,47,47,2,23,update,"Computer Networks and Communications, Artificial Intelligence, Information Systems, Biomedical Engineering, Computer Science (all), Engineering (all)",2011-2017,Universidad del Cauca,60051434,
Eduardo Ariza,Ariza E.,57207206780,9-s2.0-57207206780,,4,06/03/2019,59,59,3,12,update,"Nuclear Energy and Engineering, Energy (miscellaneous), Control and Optimization, Renewable Energy, Sustainability and the Environment, Energy Engineering and Power Technology, Electrical and Electronic Engineering, Fuel Technology",2015-2019,Corporación Universitaria Comfacauca,119181814,
Carmen J. Sánchez,Sánchez C.,55837722700,9-s2.0-55837722700,,1,06/09/2013,0,0,0,3,new,Software,2007-2007,Universidad del Cauca,107923473,Grupo IDIS
Luis Freddy Muñoz-Sanabria,Muñoz-Sanabria L.,57196952455,9-s2.0-57196952455,,4,18/11/2017,10,10,2,5,update,"Mathematics (all), Engineering (all), Education, Computer Science Applications, Computer Science (all)",2017-2019,Fundacion Universitaria de Popayán,60108709,
Willian Jairo Mavisoy Muchavisoy,Muchavisoy W.,57207034257,9-s2.0-57207034257,,1,04/03/2019,4,4,1,0,new,"Education, Social Sciences (miscellaneous), Philosophy, Anthropology, Psychology (miscellaneous), Cultural Studies",2018-2018,Universidad del Cauca,122212508,Oriundo de la nacionalidad kamëntšá del municipio de Sibundoy
Santiago Guerrero-Narváez,Guerrero-Narváez S.,57201987807,9-s2.0-57201987807,,1,18/05/2018,1,1,1,3,new,Computer Networks and Communications,2018-2018,Universidad del Cauca,104717554,Telematics Department
Víctor Mondragón,Mondragón V.,58072362800,9-s2.0-58072362800,,1,30/01/2023,0,0,0,2,new,"Ecology, Soil Science, Plant Science",2022-2022,"Fundacion Universitaria de Popayán, Universidad Nacional de Colombia Medellin","60108709, 60052098"," ,  "
Misael Córdoba,Córdoba M.,57199504482,9-s2.0-57199504482,,6,20/12/2017,37,39,2,19,update,"Pollution, Organic Chemistry, Waste Management and Disposal, Environmental Science (all), Chemical Engineering (all), Physical and Theoretical Chemistry, Inorganic Chemistry, Industrial and Manufacturing Engineering, Fuel Technology, Catalysis, Renewable Energy, Sustainability and the Environment, Biotechnology, Chemistry (all)",2017-2022,"Universidad del Cauca, Consejo Nacional de Investigaciones Científicas y Técnicas","110043908, 60004518","Exactas y de la Educación,  "
Liliana Caicedo,Caicedo L.,57224610034,9-s2.0-57224610034,,3,21/06/2021,2583,3055,3,527,update,Medicine (all),2010-2011,Hospital Universitario San José,101775869,
Luis Reinel Vásquez-Arteaga,Vásquez-Arteaga L.,57199328386,9-s2.0-57199328386,,1,19/12/2017,0,0,0,3,update,Medicine (all),2021-2021,Universidad del Cauca,104717539,Department of Internal Medicine
J. Miguel Alexis Solano,Miguel Alexis Solano J.,57219659834,9-s2.0-57219659834,,1,03/11/2020,0,0,0,3,new,Computer Science (all),2020-2020,Universidad del Cauca,60051434,
Francisco Daniel Usama,Usama F.,55536116300,9-s2.0-55536116300,,1,31/12/2012,1,1,1,2,update,Engineering (all),2012-2012,Universidad del Cauca,60051434,
F. Correa,Correa F.,55046497800,9-s2.0-55046497800,,1,13/03/2012,0,0,0,4,new,"Electrical and Electronic Engineering, Condensed Matter Physics",2004-2004,Universidad del Cauca,104717539,Department of Internal Medicine
T. A. Sánchez-Gómez,Sánchez-Gómez T.,57226619334,9-s2.0-57226619334,,2,14/08/2021,17,17,2,4878,update,"Surgery, Pulmonary and Respiratory Medicine, Cardiology and Cardiovascular Medicine",2021-2021,Hospital Universitario San José,117008946,
José F. Sánchez,Sánchez J.,57225749554,9-s2.0-57225749554,,2,20/07/2021,43,43,2,3,new,"Transportation, Civil and Structural Engineering",2011-2012,Universidad del Cauca,113263805,Departamento de Vías y Transporte
Axel Rojas,Rojas A.,55059846300,9-s2.0-55059846300,,2,15/03/2012,7,7,1,1,update,"Cultural Studies, Archeology (arts and humanities), History, Anthropology",2011-2020,Universidad del Cauca,105535106,Department of Anthropology
Víctor Andrés L. Ruiz,Ruiz V.,40661695200,9-s2.0-40661695200,,1,05/07/2011,3,3,1,2,update,Gastroenterology,2010-2010,Universidad del Cauca,104717534,Department of Surgery
María F. Dulcey,Dulcey M.,8941050000,9-s2.0-8941050000,,1,29/11/2005,14,14,1,7,update,"Medicine (all), Media Technology, Bioengineering, Nursing (all)",2005-2005,Universidad del Cauca,128228282,Department of Telematics
Néstor Andrés González,González N.,57202678214,9-s2.0-57202678214,,1,01/07/2018,9,9,1,3,update,"Strategy and Management, Management Science and Operations Research, Management Information Systems, Marketing",2018-2018,Universidad del Cauca,120875027,Research Group on Industrial Automation
Jenny Solarte Diaz,Diaz J.,57219172555,9-s2.0-57219172555,,1,01/10/2020,0,0,0,1,new,Human-Computer Interaction,2009-2009,Universidad del Cauca,108584377,Grupo de investigación y desarrollo en ingeniería de Software
Felipe Castillo,Castillo F.,57219205475,9-s2.0-57219205475,,2,02/10/2020,2,2,1,9,update,Dermatology,2020-2023,Secretaría Departamental de Salud del Cauca,113883714,
Guillermo A. Gómez,Gómez G.,57198272250,9-s2.0-57198272250,,2,07/12/2017,3,3,1,7,update,"Health Information Management, Biomedical Engineering, Health Informatics",2014-2014,Universidad del Cauca,113344040,Telematics Engineering Department
Jeison Tacué,Tacué J.,57216314764,9-s2.0-57216314764,,2,16/04/2020,4,4,1,4,update,"Artificial Intelligence, Electrical and Electronic Engineering, Computer Science Applications, Control and Optimization, Software, Energy Engineering and Power Technology, Control and Systems Engineering",2020-2021,Universidad del Cauca,105268459,"Department of Electronics, Instrumentation and Control"
Lilian Dayana Cruz,Cruz L.,57947777100,9-s2.0-57947777100,,1,04/11/2022,0,0,0,4,new,"Aquatic Science, Geography, Planning and Development, Water Science and Technology, Biochemistry",2022-2022,Universidad del Cauca,105501700,Telematics Engineering Research Group
Wilson Muñoz-Ordóñez,Muñoz-Ordóñez W.,55969379700,9-s2.0-55969379700,,1,29/12/2013,2,2,1,4,update,"Medicine (all), Biochemistry, Genetics and Molecular Biology (all)",2012-2012,Universidad del Cauca,105463331,Departamento de Ciencias Quirúrgicas
A. F. Pissos,Pissos A.,57211499418,9-s2.0-57211499418,,1,02/11/2019,0,0,0,3,new,"Computer Science Applications, Electrical and Electronic Engineering, Industrial and Manufacturing Engineering, Control and Systems Engineering",2019-2019,Universidad del Cauca,113958173,Instrumentación y Control
Mónica Andrea Silva-Zemanate,Silva-Zemanate M.,56363138300,9-s2.0-56363138300,,1,29/09/2014,3,3,1,3,update,"Health (social science), Medicine (miscellaneous)",2014-2014,Universidad del Cauca,60051434,
Guillermo Vallejo-Vallecilla,Vallejo-Vallecilla G.,57436322500,9-s2.0-57436322500,,2,05/02/2022,0,0,0,8,update,"Surgery, Gastroenterology",2022-2022,Universidad del Cauca,105463331,Departamento de Ciencias Quirúrgicas
Edilson Y. Noguera Zúñiga,Noguera Zúñiga E.,57195072145,9-s2.0-57195072145,,2,26/07/2017,22,22,2,11,update,"Theoretical Computer Science, Computer Science (all)",2017-2018,Universidad del Cauca,105194737,IDIS Research Group
Víctor Alfonso Cerón-Hernández,Cerón-Hernández V.,57189380977,9-s2.0-57189380977,,4,03/06/2016,39,39,2,37,update,"Geography, Planning and Development, Management, Monitoring, Policy and Law, Engineering (all), Nature and Landscape Conservation, Oceanography, Aquatic Science, Global and Planetary Change, Agricultural and Biological Sciences (miscellaneous), Ecology",2016-2020,"Universidad del Valle, Cali, Universidad del Cauca","104731421, 60051434","Instituto Cinara,  "
Olga Lucía Hoyos-Saavedra,Hoyos-Saavedra O.,6506068453,9-s2.0-6506068453,,12,02/12/2005,158,227,6,35,update,"Materials Chemistry, Physical and Theoretical Chemistry, Water Science and Technology, Chemistry (all), Engineering (all), Ecological Modeling, Environmental Chemistry, Condensed Matter Physics, Ceramics and Composites, Pollution, Inorganic Chemistry, Biochemistry, Waste Management and Disposal",1999-2021,Universidad del Cauca,104717528,Department of Chemistry
Jairo Roa-Fajardo,Roa-Fajardo J.,55317789000,9-s2.0-55317789000,,1,29/07/2012,0,0,0,2,update,Mathematics (all),2012-2012,Universidad del Cauca,104717531,Department of Mathematics
Julian F. Latorre,Latorre J.,57204022567,9-s2.0-57204022567,,3,05/10/2018,4,5,2,5,update,"Artificial Intelligence, Mathematics (all), Theoretical Computer Science, Computer Science (all)",2018-2020,Corporación Universitaria Comfacauca,119181814,
Jannet Rodríguez-Argote,Rodríguez-Argote J.,25930075000,9-s2.0-25930075000,,1,10/01/2009,6,6,1,4,update,,2008-2008,Universidad del Cauca,104717542,Departamento de Ciencias Fisiológicas
Daniel Alejandro Cano Saenz,Cano Saenz D.,57879879000,9-s2.0-57879879000,,1,15/09/2022,0,0,0,3,new,"Information Systems, Computer Science Applications, Information Systems and Management",2022-2022,Universidad del Cauca,104717527,Department of Physics
Juan Manuel Concha Sandoval,Sandoval J.,57208630983,9-s2.0-57208630983,,1,13/05/2019,4,4,1,2,new,"Surgery, Critical Care and Intensive Care Medicine",2017-2017,Universidad del Cauca,108560837,Departamento de Ciencia Política
Martha Isabel Almanza-Pinzón,Almanza-Pinzón M.,6504285553,9-s2.0-6504285553,0000-0002-4045-1207,6,01/12/2005,89,91,3,18,update,"Food Animals, Pharmacology, Toxicology and Pharmaceutics (all), Soil Science, Animal Science and Zoology, Plant Science, Agronomy and Crop Science, Medicine (all), Biochemistry, Genetics and Molecular Biology (all), Immunology and Microbiology (all), Horticulture",2003-2021,Universidad del Cauca,126874544,Department of Agricultural Sciences
Iván Darío López,López I.,57197596552,9-s2.0-57197596552,,10,21/11/2017,37,43,4,10,update,"Management Science and Operations Research, Environmental Engineering, Engineering (all), Strategy and Management, Theoretical Computer Science, Control and Systems Engineering, Business and International Management, Materials Science (all), Computer Science Applications, Safety, Risk, Reliability and Quality, Water Science and Technology, Artificial Intelligence, Management of Technology and Innovation, Computer Science (all)",2016-2023,Universidad del Cauca,105501700,Telematics Engineering Research Group
Andrés Mauricio Soto Oviedo,Soto Oviedo A.,57941221900,9-s2.0-57941221900,,2,31/10/2022,1,1,1,8,new,"Advanced and Specialized Nursing, Critical Care Nursing, Anesthesiology and Pain Medicine, Critical Care and Intensive Care Medicine",2021-2022,Universidad del Cauca,104717547,Departmento de Medicina Interna
Alirio R. Ortiz-Martínez,Ortiz-Martínez A.,57189342803,9-s2.0-57189342803,,1,31/05/2016,11,11,1,1,new,Obstetrics and Gynecology,2016-2016,Universidad del Cauca,104717535,Department of Obstetrics and Gynecology
Astrid Carolina Ordonez-Guerrero,Carolina Ordonez-Guerrero A.,57748967000,9-s2.0-57748967000,,1,24/06/2022,2,2,1,4,new,"Hardware and Architecture, Software, Safety, Risk, Reliability and Quality",2022-2022,Universidad del Cauca,105194737,IDIS Research Group
Camilo A. Arboleda,Arboleda C.,57132680000,9-s2.0-57132680000,,1,04/03/2016,0,0,0,3,new,Chemistry (all),2016-2016,Universidad del Cauca,115881014,Grupo de Agroquímica
Julián Grijalba,Grijalba J.,57463231200,9-s2.0-57463231200,0000-0001-6179-683X,3,27/02/2022,0,0,0,3,update,"Modeling and Simulation, Engineering (all), Geography, Planning and Development, Earth-Surface Processes, Arts and Humanities (all), Urban Studies",2018-2021,Grupo de Investigación en Diseño y Arte (D&A),127752672,
Angie Vanessa Caicedo Paz,Paz A.,57210374195,9-s2.0-57210374195,,1,16/08/2019,0,0,0,8,update,"Parasitology, Microbiology (medical), Infectious Diseases",2019-2019,Universidad del Cauca,106615462,Department of Pathology
José Rafael Rosero Morales,Morales J.,57072487500,9-s2.0-57072487500,,2,31/01/2016,0,0,0,0,update,"Cultural Studies, Philosophy, History, Anthropology",2015-2020,Universidad del Cauca,127873406,Department of Philosophy
Karen Lorena Delgado-Muñoz,Delgado-Muñoz K.,57188580985,9-s2.0-57188580985,,3,10/04/2016,5,5,1,12,update,"Management of Technology and Innovation, Strategy and Management, Energy (all), Computer Science Applications, Business and International Management, Industrial and Manufacturing Engineering, Management Science and Operations Research, Food Science, Geotechnical Engineering and Engineering Geology, Pharmacology, Toxicology and Pharmaceutics (miscellaneous), Applied Microbiology and Biotechnology",2016-2016,Universidad del Cauca,104717562,Departamento de Agroindustria
Felipe Solano,Solano F.,57452757100,9-s2.0-57452757100,,1,19/02/2022,2,2,1,3,new,"Critical Care and Intensive Care Medicine, Anesthesiology and Pain Medicine",2021-2021,Universidad del Cauca,109510232,Department of Anesthesiology
Víctor Hugo Agredo Echavarria,Echavarria V.,57188843501,9-s2.0-57188843501,,1,27/04/2016,0,0,0,4,update,"Computer Science (all), Engineering (all)",2016-2016,Institución Universitaria Colegio Mayor del Cauca,117795198,Grupo de Investigación D and A
A. Vallejo,Vallejo A.,57485492900,9-s2.0-57485492900,,1,19/03/2022,0,0,0,9,update,"Pediatrics, Perinatology and Child Health",2022-2022,Hospital Universitario San José,117008946,
Alex Gómez-Bravo,Gómez-Bravo A.,57218581623,9-s2.0-57218581623,,2,26/08/2020,1,1,1,5,update,"Obstetrics and Gynecology, Medicine (all)",2020-2020,Universidad del Cauca,60051434,
Astrid Jhoana Betancourt-Cañas,Betancourt-Cañas A.,57207687436,9-s2.0-57207687436,,1,14/03/2019,5,5,1,5,new,Medicine (all),2018-2018,Universidad del Cauca,104717535,Department of Obstetrics and Gynecology
Julio César Klínger Hernández,Klínger Hernández J.,55546530600,9-s2.0-55546530600,,1,12/01/2013,3,3,1,2,update,Medicine (all),2012-2012,Universidad del Cauca,106615462,Department of Pathology
Elvira Mancilla,Mancilla E.,57215503012,9-s2.0-57215503012,,2,13/03/2020,14,14,1,28,update,"Molecular Biology, Microbiology, Multidisciplinary, Parasitology, Immunology, Virology, Genetics",2020-2022,Secretaría Departamental de Salud del Cauca,127128201,
Bernardo Ramírez,Ramírez B.,24475272200,9-s2.0-24475272200,,2,07/08/2008,29,29,2,5,update,"Chemistry (all), Nutrition and Dietetics, Molecular Medicine, Food Science, Biotechnology, Bioengineering, Molecular Biology, Biochemistry, Agronomy and Crop Science",2011-2013,Universidad del Cauca,104717530,Department of Biology
Johan Mauricio Flor Mera,Flor Mera J.,57204777322,9-s2.0-57204777322,,1,30/11/2018,0,0,0,4,new,"Mathematics (all), Computer Science (all)",2018-2018,Institución Universitaria Colegio Mayor del Cauca,113372863,
Claudia Jurado Tulcan,Jurado Tulcan C.,57205653309,9-s2.0-57205653309,,1,07/02/2019,0,0,0,2,update,"Neurology, Neurology (clinical)",2019-2019,Universidad del Cauca,60051434,
Luis Miguel Muñoz-Gómez,Muñoz-Gómez L.,57209731615,9-s2.0-57209731615,0000-0002-4332-5222,1,12/07/2019,5,5,1,3,update,"Drug Discovery, Pharmacology",2019-2019,Universidad del Cauca,110043908,Exactas y de la Educación
Eliana Zemanate Zúñiga,Zemanate Zúñiga E.,57940938300,9-s2.0-57940938300,,2,31/10/2022,0,0,0,19,new,"Critical Care Nursing, Advanced and Specialized Nursing, Critical Care and Intensive Care Medicine, Anesthesiology and Pain Medicine",2018-2020,Universidad del Cauca,128779703,UCI
Gustavo Gómez,Gómez G.,57218164601,9-s2.0-57218164601,,1,23/07/2020,0,0,0,2,update,"Electrical and Electronic Engineering, Information Systems, Physics and Astronomy (miscellaneous), Mathematical Physics, Physics and Astronomy (all)",2022-2022,Universidad del Cauca,109856659,Department of Telecommunications
J. Camilo Villegas Cortés,Villegas Cortés J.,57189251474,9-s2.0-57189251474,,1,20/05/2016,5,5,1,4,update,"Earth and Planetary Sciences (all), Environmental Science (all), Ecology, Ecology, Evolution, Behavior and Systematics",2016-2016,Universidad del Cauca,116666513,Grupo de estudios en Geología
Deycy Janeth Sanchez Preciado,Preciado D.,58114303400,9-s2.0-58114303400,,1,28/02/2023,0,0,0,0,new,"Artificial Intelligence, Management of Technology and Innovation, Electrical and Electronic Engineering, Computer Networks and Communications, Computer Science Applications, Information Systems and Management",2022-2022,"Investigador Adscrito al Centro Regional de Productividad e Innovación del Cauca-CREPIC, Högskolan i Halmstad","126220389, 60022085"," ,  "
G. Gomez,Gomez G.,57643947200,9-s2.0-57643947200,,1,05/05/2022,0,0,0,2,new,"Materials Science (all), Engineering (all)",2020-2020,Universidad del Cauca,118647207,GNTT: Grupo de Investigación en Nuevas Tecnologías de Telecomunicaciones
Margui Fernanda Saenz,Fernanda Saenz M.,57204778025,9-s2.0-57204778025,,1,30/11/2018,2,2,1,5,new,"Mathematics (all), Computer Science (all)",2018-2018,Institución Universitaria Colegio Mayor del Cauca,113372863,
Claudia F.R. Villaquirán,Villaquirán C.,6506677086,9-s2.0-6506677086,,1,02/12/2005,0,0,0,4,update,"Materials Science (all), Industrial and Manufacturing Engineering",2016-2016,Universidad del Cauca,104717550,Grupo de Ciencia y Tecnología de Materiales Cerámicos (CYTEMAC)
P. Nilza Velasco,Nilza Velasco P.,35491137900,9-s2.0-35491137900,,1,25/02/2010,0,0,0,4,update,"Materials Science (all), Instrumentation, Microbiology (medical)",2010-2010,Universidad del Cauca,108282352,Unidad de Microscopía Electrónica
Jorge F. Tobar,Tobar J.,57471420000,9-s2.0-57471420000,,1,05/03/2022,0,0,0,3,new,Cardiology and Cardiovascular Medicine,2020-2020,Universidad del Cauca,105463331,Departamento de Ciencias Quirúrgicas
A. Vasquez,Vasquez A.,7004778755,9-s2.0-7004778755,,1,04/12/2005,0,0,0,4,update,Hematology,1983-1983,Universidad del Cauca,104717547,Departmento de Medicina Interna
Carlos Felipe Rengifo Rodas,Rengifo Rodas C.,55216602900,9-s2.0-55216602900,0000-0002-0601-3481,44,22/05/2012,122,140,6,48,update,"Industrial and Manufacturing Engineering, Mathematics (all), Software, Management, Monitoring, Policy and Law, Multidisciplinary, Bioengineering, Control and Systems Engineering, Physics and Astronomy (all), Environmental Science (miscellaneous), Geography, Planning and Development, Strategy and Management, Artificial Intelligence, Engineering (all), Mechanical Engineering, Civil and Structural Engineering, Computer Networks and Communications, Physiology (medical), Computer Science (all), Computer Vision and Pattern Recognition, Computer Science (miscellaneous), Control and Optimization, Modeling and Simulation, Hardware and Architecture, Electrical and Electronic Engineering, Process Chemistry and Technology, Education, Energy Engineering and Power Technology, Environmental Science (all), Instrumentation, Nursing (all), Mechanics of Materials, Energy (all), Biomedical Engineering, Computer Science Applications, Signal Processing, Renewable Energy, Sustainability and the Environment",2008-2022,Universidad del Cauca,60051434,
María A. Sánchez,Sánchez M.,57193762469,9-s2.0-57193762469,,1,06/04/2017,9,9,1,7,update,"Ecology, Evolution, Behavior and Systematics",2017-2017,Fundacion Universitaria de Popayán,118671346,Faculty of Ecology
Jhoana Sandoval-Serna,Sandoval-Serna J.,57396315800,9-s2.0-57396315800,,1,09/01/2022,7,7,1,7,update,"Biotechnology, Biomedical Engineering, Surgery, Health Informatics",2021-2021,Universidad del Cauca,117691942,Facultad de Ciencias Contables
Mario Mallama,Mallama M.,57217385988,9-s2.0-57217385988,,2,04/07/2020,10,10,1,9,update,"Multidisciplinary, Anesthesiology and Pain Medicine",2021-2023,Universidad del Cauca,109510232,Department of Anesthesiology
Gustavo Adolfo Salazar-Escobar,Salazar-Escobar G.,57224980396,9-s2.0-57224980396,,1,02/07/2021,1,1,1,3,new,Engineering (all),2020-2020,Universidad del Cauca,60051434,
Diego Rivera Vásquez,Vásquez D.,57215929172,9-s2.0-57215929172,,1,31/03/2020,1,1,1,4,new,"Mathematics (all), Computer Science (all)",2020-2020,Unicomfacauca University,124133827,
Gabriel D. Orozco,Orozco G.,57215578059,9-s2.0-57215578059,,1,17/03/2020,3,3,1,3,new,"Information Systems and Management, Safety, Risk, Reliability and Quality, Computer Networks and Communications",2019-2019,Universidad del Cauca,104717561,Grupo de Ingeniería Telemática
José Rafael Rosero Morales,Rosero Morales J.,57188586591,9-s2.0-57188586591,,3,10/04/2016,2,2,1,1,update,"History and Philosophy of Science, Philosophy, Arts and Humanities (all), Social Sciences (all), Political Science and International Relations, Sociology and Political Science",2015-2020,Universidad del Cauca,109858671,Departamento de Filosofía
Ana María Caviedes Castillo,Castillo A.,57215493000,9-s2.0-57215493000,,2,13/03/2020,1,1,1,8,update,"Geotechnical Engineering and Engineering Geology, Stratigraphy, Paleontology, Geochemistry and Petrology, Geology, Computer Science (all)",2020-2020,Institución Universitaria Colegio Mayor del Cauca,123616522,Facultad de Ingeniería
Néstor Díaz,Díaz N.,44061138500,9-s2.0-44061138500,,10,06/08/2011,36,39,2,17,update,"Biotechnology, Control and Systems Engineering, Applied Mathematics, Engineering (all), Molecular Biology, Computational Theory and Mathematics, Genetics, Computer Science (all)",2010-2020,Universidad del Cauca,60051434,
Gersain Medina-Yara,Medina-Yara G.,57229973000,9-s2.0-57229973000,,1,01/09/2021,0,0,0,3,new,"Agronomy and Crop Science, Plant Science, Animal Science and Zoology, Environmental Science (all)",2021-2021,Asociación Campesina de Inzá Tierradentro (ACIT),126777846,
Lina Marcela Yasno,Yasno L.,57222251060,9-s2.0-57222251060,,1,11/03/2021,1,1,1,4,new,Gastroenterology,2020-2020,Clínica la Estancia,125854473,Magíster en Salud Ocupacional
J. D.Valdés Domínguez,Domínguez J.,57197939740,9-s2.0-57197939740,,1,06/12/2017,0,0,0,2,new,Computer Networks and Communications,2013-2013,Universidad del Cauca,60051434,
Hector Iván Guerrero Jiménez,Jiménez H.,57189089522,9-s2.0-57189089522,,1,13/05/2016,0,0,0,3,update,"Linguistics and Language, Education, Language and Linguistics",2015-2015,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud
