nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento
José Luis Hoyos Concha,Hoyos Concha J.,54789723200,9-s2.0-54789723200,,24,03/01/2012,110,112,4,54,update,"Microbiology, Horticulture, Management of Technology and Innovation, Energy (all), Health Professions  (miscellaneous), Geotechnical Engineering and Engineering Geology, Applied Microbiology and Biotechnology, Food Science, Management Science and Operations Research, Ecology, Chemistry (all), Business and International Management, Management, Monitoring, Policy and Law, Computer Science Applications, Health (social science), Multidisciplinary, Pharmacology, Toxicology and Pharmaceutics (miscellaneous), Strategy and Management, Fluid Flow and Transfer Processes, Chemical Engineering (all), Instrumentation, Agronomy and Crop Science, Agricultural and Biological Sciences (all), Computer Science (all), Industrial and Manufacturing Engineering, Plant Science, Materials Science (all), Process Chemistry and Technology, Global and Planetary Change, Engineering (all), Animal Science and Zoology, Business, Management and Accounting (all)",2011-2023,Universidad del Cauca,60051434,
Isaac Bedoya Dorado,Dorado I.,57221870972,9-s2.0-57221870972,,1,13/02/2021,0,0,0,5,new,Nature and Landscape Conservation,2021-2021,Parque Nacional Natural Puracé,125750906,
Carlos Suarez,Suarez C.,57214464484,9-s2.0-57214464484,,2,06/02/2020,2,2,1,8,update,"Biomedical Engineering, Analytical Chemistry, Health Information Management, Information Systems, Instrumentation, Health Informatics, Electrical and Electronic Engineering, Biochemistry, Atomic and Molecular Physics, and Optics",2014-2022,Universidad del Cauca,104717552,Departamento de Telemática
Gerardo Rojas Sierra,Sierra G.,55840356200,9-s2.0-55840356200,,1,08/09/2013,0,0,0,3,update,Computer Networks and Communications,2011-2011,Universidad del Cauca,105501700,Telematics Engineering Research Group
César Jesús Pardo Calvache,Calvache C.,57659966800,9-s2.0-57659966800,,2,11/05/2022,0,0,0,4,update,"Electrical and Electronic Engineering, Architecture, Education, Biomedical Engineering, Computer Science (all), Engineering (all), Economics, Econometrics and Finance (miscellaneous), Industrial and Manufacturing Engineering",2021-2022,Universidad del Cauca,112027538,Department of Computer Science
David López-Valencia,López-Valencia D.,57193099421,9-s2.0-57193099421,0000-0001-6699-5061,10,03/02/2017,23,23,3,18,update,"Agricultural and Biological Sciences (all), Biochemistry, Genetics and Molecular Biology (all), Medicine (all)",2016-2021,"Universidad del Cauca, Corporación del Laboratorio al Campo","104717539, 123142041","Department of Internal Medicine,  "
Santiago José Ruano Rincón,Rincón S.,57213062366,9-s2.0-57213062366,,1,12/01/2020,0,0,0,5,new,"Human-Computer Interaction, Sociology and Political Science",2006-2006,CRIC - Consejo Regional Indígena del Cauca,113845992,
Jorge Andrés Rosero Narváez,Rosero Narváez J.,57226748598,9-s2.0-57226748598,,1,19/08/2021,0,0,0,10,new,Rheumatology,2021-2021,Universidad del Cauca,120313626,Programa de Medicina
Martín Alonso Muñoz Medina,Medina M.,57208397794,9-s2.0-57208397794,,1,30/04/2019,1,1,1,2,new,"Biomedical Engineering, Electrical and Electronic Engineering",2019-2019,Universidad del Cauca,60051434,
William Andrés López-Lasso,López-Lasso W.,57200112115,9-s2.0-57200112115,,2,04/01/2018,3,3,1,11,update,Medicine (all),2017-2019,Hospital Universitario San José,118732985,Unidad de Cuidados Intensivos
Daniel Felipe Rivas,Rivas D.,38362388600,9-s2.0-38362388600,,1,08/06/2011,2,2,1,4,update,"Business and International Management, Information Systems and Management, Modeling and Simulation, Management Information Systems, Business, Management and Accounting (all), Control and Systems Engineering, Information Systems",2011-2011,Universidad del Cauca,110429422,Telematics Engieneering Group (GIT)
E. J.P. Chilito,Chilito E.,55666046700,9-s2.0-55666046700,,1,09/05/2013,35,35,1,2,update,Plant Science,1995-1995,Fundacion Universitaria de Popayán,118671344,Facultad de Ciencias Naturales
Daniela Pérez Oliveros,Pérez Oliveros D.,57213002677,9-s2.0-57213002677,,1,11/01/2020,4,4,1,2,new,"Mathematics (all), Computer Science (all)",2019-2019,Institución Universitaria Colegio Mayor del Cauca,113372863,
Alejandra I. Guerrero-Duymovic,Guerrero-Duymovic A.,57703676400,9-s2.0-57703676400,,1,29/05/2022,0,0,0,5,new,Engineering (all),2021-2021,Universidad del Cauca,60051434,
Esteban Eduardo Molano Ordonez,Ordonez E.,57215329451,9-s2.0-57215329451,,1,08/03/2020,0,0,0,1,new,"Metals and Alloys, Agronomy and Crop Science, Electrical and Electronic Engineering, Electronic, Optical and Magnetic Materials, Energy Engineering and Power Technology, Ecology, Renewable Energy, Sustainability and the Environment, Surfaces, Coatings and Films",2019-2019,Universitaria de Popayán,123792059,Ingeniería Industrial
