idgruplac,verificado,tipo,nombre,lugar,revista,issn,fecha,volumen,fasciculo,paginas,doi,autores
00000000008160,True,Publicado en revista especializada,Business process retrieval based on behavioral semantics,Colombia,Revista Eia,1794-1237,2012,17,N/A,105 - 120,,"JUAN CARLOS CORRALES MUNOZ, CRISTHIAN NICOLAS FIGUEROA MARTINEZ"
00000000008160,True,Publicado en revista especializada,Architectural Analysis of Clinical Ontologies for pHealth Interoperability,Países Bajos,Studies in Health Technology and Informatics,0926-9630,2012,177,1,176 - 182,,"GUSTAVO ANDRES URIBE GOMEZ, DIEGO MAURICIO LOPEZ GUTIERREZ, BERND BLOBEL"
00000000008160,True,Publicado en revista especializada,Arquitectura para el aprovisionamiento de servicios de valor agregado soportada en ESB Y SLEE,Colombia,Revista Educación En Ingeniería,1900-8260,2012,7,13,1 - 12,,"OSCAR MAURICIO CAICEDO RENDON, FRANCISCO ORLANDO MARTINEZ PABON"
00000000008160,True,Publicado en revista especializada,Evaluación de la QoS en redes HFC para la distribución de aplicaciones de Televisión Digital interactiva (TDI),Colombia,Revista Facultad de Ingenieria,0120-6230,2012,63,1,9 - 19,,"JOSE LUIS ARCINIEGAS HERRERA, IVAN TAIMAL, WILMAR CAMPO, WILMAR YESID CAMPO MUNOZ"
00000000008160,True,Publicado en revista especializada,Architectural approach for semantic EHR systems development based on Detailed Clinical Models,Países Bajos,Studies in Health Technology and Informatics,0926-9630,2012,177,N/A,164 - 169,,"JUAN GUILLERMO BERNAL AYALA, DIEGO MAURICIO LOPEZ GUTIERREZ, BERND BLOBEL"
00000000008160,True,Publicado en revista especializada,User-Driven Automatic Resource Retrieval Based on Natural Language Request,Estados Unidos,Lecture Notes in Computer Science,0302-9743,2012,7337,N/A,203 - 209,10.1007/978-3-642-31178-9_22,JUAN CARLOS CORRALES MUNOZ
00000000008160,True,Publicado en revista especializada,Formal Specification of an Ontology-based Service for EHR Interoperability,Países Bajos,Studies in Health Technology and Informatics,0926-9630,2012,180,N/A,78 - 82,,"CAROLINA GONZALEZ, DIEGO MAURICIO LOPEZ GUTIERREZ, BERND BLOBEL, CAROLINA GONZALEZ SERRANO"
00000000008160,True,Publicado en revista especializada,Entorno de Pruebas para servicios interactivos de TV Móvil basada en el estándar DVB-H.,Colombia,Lámpsakos,2145-4086,2012,7,1,59 - 68,,"JOSE LUIS ARCINIEGAS HERRERA, GABRIEL ELIAS CHANCHI GOLONDRINO"
00000000008160,True,Publicado en revista especializada,Adaptive intelligent systems for pHealth - an architectural approach,Honduras,Studies in Health Technology and Informatics,0926-9630,2012,177,N/A,170 - 175,,"CAROLINA GONZALEZ, DIEGO MAURICIO LOPEZ GUTIERREZ, BERND BLOBEL"
00000000008160,True,Publicado en revista especializada,Estimación de la similitud semántica de tareas entre procesos de negocio de telecomunicaciones,Colombia,Ingeniería Y Ciencia,1794-9165,2012,8,15,65 - 95,,"JUAN CARLOS CORRALES MUNOZ, LEANDRO ORDONEZ ANTE"
00000000008160,True,Publicado en revista especializada,SOA-BASED GUIDELINES FOR VALUE-ADDED SERVICE DEVELOPMENT ON JAIN SLEE ENVIRONMENTS,Colombia,Revista Ingenierías Universidad De Medellín,1692-3324,2012,11,21,175 - 184,,JUAN CARLOS CORRALES MUNOZ
