idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0000676446,"SANDRA PATRICIA ARTUNDUAGA LOMBO, NORMA ROCIO GUARAMA RUALES, MAGALY LORENA RUIZ SAMBONI",Revisión del tema de consideraciones de diseño arquitectónico en espacios de hospitalización pediátrica,Otro,False,Consideraciones Diseño Hospitalización Pediatrica,09-10-2010,Colombia,2010,Consideración de espacios pediátricos;Humanización de los espacios;Espacios pediatricos hospitalarios,Humanidades;Arte;Arquitectura y Urbanismo,Salud humana
0000676446,"SANDRA PATRICIA ARTUNDUAGA LOMBO, NORMA ROCIO GUARAMA RUALES, MAGALY LORENA RUIZ SAMBONI","Diagnóstico ambiental cualitativo del área de hospitalización pediátrica del Hospital Universitario San José de Popayán, E.S.C",Base de datos de referencia para investigacion,False,Diagnóstico Ambiental Cualitativo Area Pediatrica. HUSJ-Popayan,09-10-2010,Colombia,2010,Consideración de espacios pediátricos;Espacios pediatricos hospitalarios;Humanización de los espacios,Humanidades;Arte;Arquitectura y Urbanismo,Salud humana
0000676446,"SANDRA PATRICIA ARTUNDUAGA LOMBO, NORMA ROCIO GUARAMA RUALES, MAGALY LORENA RUIZ SAMBONI",Formatos de sistematización de levantamiento de información que permitan diagnosticar aspectos cualitativos de los espacios arquitectónicos de hospitalización pediátrica.,Otro,False,Formatos Sistematizacion,09-10-2010,Colombia,2010,Consideración de espacios pediátricos;Espacios pediatricos hospitalarios;Humanización de los espacios,Humanidades;Arte;Arquitectura y Urbanismo,Salud humana
0000676446,"SANDRA PATRICIA ARTUNDUAGA LOMBO, ALFREDO ALEJANDRO BUSTOS ANDRADE",Propuesta espacial del albergue el Vergel. Nariño.,Otro,False,Propuesta arquitectónica para albergue temporal,,Colombia,2010,Albergues temporales;Arquitectura Bioclimática;Calentamiento global;Desastre Natural,Humanidades;Arte;Arquitectura y Urbanismo,Desarrollo Urbano
0000902284,TOMAS CASTRILLON VALENCIA,"Levantamiento planimetrico y altimetrico, Viviendas sector historico de Popayan, Barrios El empedrado, San camilo y Hernando lora",Otro,False,,,Colombia,2006,Levantamiento planimetrico sector historico,Humanidades;Arte;Arquitectura y Urbanismo,Salud humana
0001437370,NASLY YANID DELGADO ESPINOSA,"Columna de adsorción con carbón activado en polvo, flujo descendente",Otro,False,Columna de adsorción,,Argentina,2018,No Aplica,No Aplica,No Aplica
0001409555,"DEYANIRA CALDERON TORRES, KELLY GIOVANNA MUNOZ BALCAZAR",Plataforma de datos para georreferenciación FUPDHES,Base de datos de referencia para investigacion,False,Plataforma de georreferenciación FUPDHES ,,Colombia,2018,territorio;desplazamiento forzado;Comunicación y desarrollo;cartografia social;dinamicas rur-urbanas;patrimonio biocultural;sociedades afroindoamericanas,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo rural
0000268453,OLGA LUCIA CADENA DURAN,Propuesta metodológica para la presentación de proyectos,Otro,False,,,Colombia,2006,No Aplica,No Aplica,No Aplica
0000268453,"OLGA LUCIA CADENA DURAN, TALLER PARA EL ANÁLISIS E IDENTIFICACIÓN DE SATISFACTORES Y NECESIDADES DE LAS COMUNIDADES",A PARTIR DE LAS PRÁCTICAS AGROECOLÓGICAS,Otro,False,Metodología para identificar necesidades y satisfactores en Agroecología,,Colombia,2015,agroecología;sinergias,"Ciencias Sociales;Otras Ciencias Sociales;Ciencias Sociales, Interdisciplinaria",Desarrollo rural
0000268453,OLGA LUCIA CADENA DURAN,Fichas etnobotánicas,Otro,False,Fichas etnobotánicas,,Colombia,2014,agroecología;ambiente y cultura;agricultura tradicional;economía ecológica;Etnobotánica,"Ciencias Sociales;Otras Ciencias Sociales;Ciencias Sociales, Interdisciplinaria",Desarrollo rural
0000796158,LINA MARIA LOPEZ ROA,CD interactivo de evaluacion Osteomuscular,Otro,False,,,Colombia,2009,No Aplica,No Aplica,No Aplica
0000524840,CARLOS CORREDOR JIMENEZ,El papel del cooperativismo en el discurso del desarrollo rural durante la decada de los 70 y 80 para el departamento del Cauca.,Otro,False,,,Colombia,2005,No Aplica,No Aplica,No Aplica
0000667021,FRANCISCO JAVIER ORTEGA,Página Web como herramienta de apoyo a la formación en Costos,Otro,False,,,Colombia,2011,No Aplica,No Aplica,No Aplica
0000667021,FRANCISCO JAVIER ORTEGA,Página web como herramienta de apoyo en la formación en la metodología de la investigación,Otro,False,,,Colombia,2010,No Aplica,No Aplica,No Aplica
0000667021,FRANCISCO JAVIER ORTEGA,Página web como herramienta de apoyo para la formación en teoría contable,Otro,False,,,Colombia,2010,No Aplica,No Aplica,No Aplica
0000269140,LUIS FREDDY MUNOZ SANABRIA,Análisis y Diseño para la aplicación BALANCE SCORE CARD,Otro,False,BALANCE SCORE CARD,,Colombia,2009,No Aplica,No Aplica,No Aplica
0002042699,ALEJANDRA YICEL VARGAS MUNOZ,DISEÑO PÁGINA WEB SEMILLERO,Otro,False,PÁGINA WEB DEVENIAC,,Colombia,2019,No Aplica,No Aplica,No Aplica
0002042699,ALEJANDRA YICEL VARGAS MUNOZ,SISTEMA DE INFORMACIÓN PARA LA GESTIÓN DE NÓMINAS E INCAPACIDADES,Gen Clonado,False,SISTEMA DE INFORMACIÓN PARA LA GESTIÓN DE NÓMINAS E INCAPACIDADES,,Colombia,2022,No Aplica,No Aplica,No Aplica
0002042699,ALEJANDRA YICEL VARGAS MUNOZ,IMPLEMENTACIÓN DE PLATAFORMA CAMPUS VIRTUAL,Otro,False,PLATAFORMA CAMPUS VIRTUAL DEVENIAC,,Colombia,2020,No Aplica,No Aplica,No Aplica
0002042699,ALEJANDRA YICEL VARGAS MUNOZ,GUÍA DE HERRAMIENTAS LIBRES TIC PARA EL TRABAJO EN CASA,Otro,False,GUÍA DE HERRAMIENTAS LIBRES TIC PARA EL TRABAJO EN CASA,,Colombia,2019,No Aplica,No Aplica,No Aplica
0001368209,FRANCISCO JOSE IDROBO IDROBO,RECIRCULACION DE RIPIOS,Otro,False,RECIRCULACION DE RIPIOS,EMICAUCA SA - FRANCISCO JOSE IDROBO IDROBO,Colombia,2007,No Aplica,No Aplica,No Aplica
0001368209,FRANCISCO JOSE IDROBO IDROBO,METODOLOGIA DE PRODUCCION LIMPIA EN EL SECTOR ALFARERO,Otro,False,METODOLOGIA DE PRODUCCION LIMPIA EN EL SECTOR ALFARERO,10-10-2008,Colombia,2008,No Aplica,No Aplica,No Aplica
0001368209,FRANCISCO JOSE IDROBO IDROBO,PRODUCCION LIMPIA EN MINERIA,Otro,False,PRODUCCION LIMPIA EN MINERIA,,Colombia,2009,No Aplica,No Aplica,No Aplica
0001368209,FRANCISCO JOSE IDROBO IDROBO,PRIMEROS AUXILIOS PSICOLOGICOS APLICADOS A SITUACIONES DE EMERGENCIA,Otro,False,PRIMEROS AUXILIOS PSICOLOGICOS APLICADOS A SITUACIONES DE EMERGENCIA,,Colombia,2009,No Aplica,No Aplica,No Aplica
0001368209,FRANCISCO JOSE IDROBO IDROBO,APUESTA MINERA PARA EL DEPARTAMENTO DEL CAUCA,Otro,False,APUESTA MINERA - CAUCA,CAMARA DE COMERCIO - FRANCISCO JOSE IDROBO IDROBO,Colombia,2005,No Aplica,No Aplica,No Aplica
0001368209,FRANCISCO JOSE IDROBO IDROBO,RECONVERSION TECNOLOGICA PARA LA IMPLEMENTACION DE PROCESOS LIMPIOS DE PRODUCCION EN EL SECTOR ALFARERO DEL MUNICIPIO DE EL TAMBO - CAUCA,Otro,False,RECONVERSION TECNOLOGICA PARA LA IMPLEMENTACION DE PROCESOS LIMPIOS DE PRODUCCION EN EL SECTOR ALFARERO DEL MUNICIPIO DE EL TAMBO - CAUCA,ASOCIACION DE ALFAREROS DE EL TAMBO - FRANCISCO JOSE IDROBO,Colombia,2007,No Aplica,No Aplica,No Aplica
0001368209,FRANCISCO JOSE IDROBO IDROBO,MINI-CADENA PRODUCTIVA DE LA ARCILLA,Otro,False,MINI-CADENA PRODUCTIVA DE LA ARCILLA,,Colombia,2007,No Aplica,No Aplica,No Aplica
0001368209,FRANCISCO JOSE IDROBO IDROBO,PROYECTO MINERO EL VINAGRE - EMICAUCA SA,Otro,False,PROYECTO MINERO EL VINAGRE - EMICAUCA SA,,Colombia,2007,No Aplica,No Aplica,No Aplica
0001368209,FRANCISCO JOSE IDROBO IDROBO,MINERIA EN EL TAMBO,Otro,False,MINERIA EN EL TAMBO,,Colombia,2008,No Aplica,No Aplica,No Aplica
0001368209,FRANCISCO JOSE IDROBO IDROBO,APUESTA MINERA - CADENAS Y MINICADENAS PRODUCTIVAS EN MINERIA EN EL DEPARTAMENTO DEL CAUCA,Otro,False,APUESTA MINERA - CADENAS Y MINICADENAS PRODUCTIVAS EN MINERIA EN EL DEPARTAMENTO DEL CAUCA,,Colombia,2007,No Aplica,No Aplica,No Aplica
0001368209,FRANCISCO JOSE IDROBO IDROBO,ACOMPAÑAMIENTO Y LEGALIZACION DE PROYECTOS MINEROS EN VITONCO,Otro,False,ACOMPAÑAMIENTO Y LEGALIZACION DE PROYECTOS MINEROS EN VITONCO,,Colombia,2008,No Aplica,No Aplica,No Aplica
0001368209,FRANCISCO JOSE IDROBO IDROBO,PROCESOS DE LEGALIZACION DE LA MINERIA EN TERRITORIOS INDIGENAS,Otro,False,PROCESOS DE LEGALIZACION DE LA MINERIA EN TERRITORIOS INDIGENAS,,Colombia,2008,No Aplica,No Aplica,No Aplica
0001366781,JUAN PABLO PRADO MEDINA,Plan Integral de Ordenamiento Comunitario para el Manejo de Cuencas Hidrográficas en el Corregimiento de Sata Rita Municipio de la Vega Cauca,Otro,False,,FD07-54,Colombia,2008,No Aplica,No Aplica,No Aplica
0001536699,"JULIO ANDRES MOSQUERA BOLANOS, JULIAN ANDRES CAICEDO MUNOZ, DIEGO MANUEL DUSSAN MUNOZ, JOHN ROBERT MUNOZ CHAVEZ, JORGE ELIECER MANRIQUE JULIO","EcoSecador de café, optimización",Otro,False,EcoSecador de café,,Colombia,2018,No Aplica,No Aplica,No Aplica
0001469142,"GIOVANNI ALEJANDRO VARONA BELTRAN, KAREN DELGADO DELGADO, CAMILO ELIAS MONTILLA BUITRAGO, HECTOR SAMUEL VILLADA CASTILLO",Proceso de obtención de películas biodegradables para la fabricación de guantes para el consumo de alimentos,Otro,False,Guante desechable Biodegradable ,,Colombia,2016,No Aplica,No Aplica,No Aplica
0001363087,"LUZ ADRIANA PLAZAS PEMBERTHY, CARLOS AUGUSTO ANDRADE ERASO, ALVARO PRADA VELASQUEZ, ANDRES EDUARDO MANTILLA ZARATE, GERMAN CASTILLO SALAMANCA, JORGE ANDRES PRADA MEJIA, SISTEMA DE MONITOREO PERMANENTE DE PRESIÓN TEMPERATURA EN FONDO DE POZO",MULTIPLE O SERIAL EN TIEMPO REAL,Otro,False,"SISTEMA DE MONITOREO PERMANENTE DE PRESIÓN TEMPERATURA EN FONDO DE POZO, MULTIPLE O SERIAL EN TIEMPO REAL",,Colombia,2016,monitoreo;petroleo;producción,"Ingeniería y Tecnología;Ingeniería Ambiental;Ingeniería del Petróleo (Combustibles, Aceites), Energía y Combustibles",Industrias extractivas
0000011924,ERNESTO LEON RODRIGUEZ FLOREZ,Directorio Latinoamericano de Publicaciones en Acceso Abierto - DLPAA,Base de datos de referencia para investigacion,False,Directorio Latinoamericano de Publicaciones en Acceso Abierto - DLPAA¿,,Colombia,2016,Acceso Abierto;Índice Bibliográfico Internacional (IBI),Ciencias Médicas y de la Salud;Biotecnología en Salud;Ética Relacionada con la Biomedicina,Educación
0000013528,"ANDRES JOSE CASTRILLON MUNOZ, APOLINAR FIGUEROA CASAS",Videoclip proomocional del Cauca Ecoturístico y Multicultural,Otro,False,,,Colombia,2001,Alternativa;Ecoturística;Multicultural;Humanidad,Ciencias Sociales;Economía y Negocios;Negocios y Management,Otros sectores
0000013528,"ANDRES JOSE CASTRILLON MUNOZ, LUISA FERNANDA ZAPATA ARANGO, JOSE REINALDO MUNOZ RADA, JAIME BURBANO CASTILLO, JOHN ORTIZ",Inventario de Productos Turísticos del departamento del Cauca (Colombia),Otro,False,http://www.siturismocauca.com/,Proyecto ID 2564,Colombia,2009,Atractivo Turístico;Aplicaciones web;Bases de datos;Desarrollo Turistico,Ciencias Sociales;Economía y Negocios;Negocios y Management,Desarrollo de programas (software) y prestación de servicios en informática
0000013528,ANDRES JOSE CASTRILLON MUNOZ,TECNOCULTURALIDAD APLICADA AL TURISMO,Otro,False,TECNOCULTURALIDAD,,Colombia,2004,tecnoculturality,Ciencias Sociales;Economía y Negocios;Negocios y Management,Educación
0001431291,ALBERT PESQUISADOR INNOVATOR,asd,Otro,False,asd,,Colombia,2014,No Aplica,No Aplica,No Aplica
0001431291,ALBERT PESQUISADOR INNOVATOR,patente prueba,Otro,False,patente jyanza,,Colombia,2018,No Aplica,No Aplica,No Aplica
0000228516,"HELVIA BRAENDLY DE BUCHELI, CELIA MARINA AVILA, FRANCOIS PIERRE GRAVEL, OLGA PATRICIA SOLIS VALENCIA",TAMPU : Portal ecoturistico y multicultural del Cauca,Otro,False,www.tampu.com,,Colombia,2002,Comunicación,Ciencias Sociales;Periodismo y Comunicaciones;Medios y Comunicación Social,Otros sectores
0001422550,"DANIEL ANDRES FERIZ GARCIA, EDWIN MAURICIO REALPE GRIJALBA, ISMAEL REYES PAYAN",plataforma de gestión de convocatorias y proyectos de investigación de la Fundación universitaria de popayán,Base de datos de referencia para investigacion,False,sistema digital de gestión de la investigación ,,Colombia,2019,No Aplica,No Aplica,Educación
