nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento,idgruplac,nombre_grupo,idcvlac
José Dulcey,Dulcey J.,6504213093,9-s2.0-6504213093,,1,2005-12-02,49,49,1,2,update,Arts and Humanities (miscellaneous);Neurology (clinical),1979-1979,Universidad del Cauca,60051434,No Aplica,,,
Stella Dulcey,Dulcey S.,6504050587,9-s2.0-6504050587,,1,2005-12-02,49,49,1,2,update,Neurology (clinical);Arts and Humanities (miscellaneous),1979-1979,Universidad del Cauca,60051434,No Aplica,,,
Lina Maria Muñoz,Muñoz L.,57207194817,9-s2.0-57207194817,,1,2019-03-06,47,47,1,9,update,Infectious Diseases,2019-2019,Universidad del Cauca,104717539,Department of Internal Medicine,,,
Deycy Janeth Snchez Preciado,Snchez Preciado D.,55343163500,9-s2.0-55343163500,,1,2012-09-03,45,45,1,2,update,Management of Technology and Innovation;Engineering (all),2012-2012,Universidad del Cauca,60051434,No Aplica,,,
Jeimmy Rocio Bonilla-Mendez,Bonilla-Mendez J.,57207909216,9-s2.0-57207909216,0000-0001-5362-5950,1,2019-03-27,43,43,1,1,update,Agricultural and Biological Sciences (all),2018-2018,Universidad del Cauca,117222813,Facultad de Ciencias Agrarias,00000000003965;00000000002146,Ciencia y Tecnología de Biomoléculas de Interés Agroindustrial - CYTBIA;APROVECHAMIENTO DE SUBPRODUCTOS AGROINDUSTRIALES,0001347183
J. D. Otero,Otero J.,54383875700,9-s2.0-54383875700,,1,2011-11-21,40,40,1,3,update,"Environmental Engineering;Management, Monitoring, Policy and Law;Nature and Landscape Conservation",2011-2011,Universidad del Cauca,112325747,Environmental Studies Group,,,
F. A. Muñoz,Muñoz F.,57198285656,9-s2.0-57198285656,0000-0001-5905-5266,1,2017-12-07,40,40,1,3,update,"Nature and Landscape Conservation;Management, Monitoring, Policy and Law;Environmental Engineering",2011-2011,Universidad del Cauca,112325747,Environmental Studies Group,00000000008159;00000000002191,Grupo de Estudios Ambientales;Grupo de Agroquímica,0001294210
Javier E. Fernández-Mera,Fernández-Mera J.,57195673117,9-s2.0-57195673117,,1,2017-09-22,38,38,1,13,update,Environmental Chemistry;Chemistry (all),2018-2018,Universidad del Cauca,117565105,Department of Environmental and Sanitary Engineering,,,
Daniela Pabón-Patiño,Pabón-Patiño D.,57195684011,9-s2.0-57195684011,,1,2017-09-22,38,38,1,13,update,"Public Health, Environmental and Occupational Health",2018-2018,Corporación Universitaria Autónoma del Cauca,60276620,No Aplica,,,
Carlos M. Campo,Campo C.,57190586209,9-s2.0-57190586209,,1,2016-08-18,38,38,1,2,update,Multidisciplinary,2016-2016,Universidad del Cauca,104717528,Department of Chemistry,,,
E. J.P. Chilito,Chilito E.,55666046700,9-s2.0-55666046700,,1,2013-05-09,35,35,1,2,update,Plant Science,1995-1995,Fundación Universitaria de Popayán,118671344,Facultad de Ciencias Naturales,,,
E. M. Sandovals,Sandovals E.,6503892566,9-s2.0-6503892566,,1,2005-11-28,35,35,1,2,update,Plant Science,1995-1995,Fundación Universitaria de Popayán,118671344,Facultad de Ciencias Naturales,,,
Sergio David Campo-Erazo,Campo-Erazo S.,57205886225,9-s2.0-57205886225,,1,2019-02-19,34,34,1,3,update,Structural Biology;Biochemistry;Molecular Biology,2019-2019,Universidad del Cauca,122165944,Departamento de Ingeniería Agroindustrial,,,
Luis E. Montoya-Delgado,Montoya-Delgado L.,57199601496,9-s2.0-57199601496,,1,2017-12-21,33,33,1,3,new,Genetics;Genetics (clinical),2001-2001,Universidad del Cauca,60051434,No Aplica,,,
José Pérez,Pérez J.,57199290996,9-s2.0-57199290996,,1,2017-12-18,33,33,1,2,new,Computational Mathematics;Applied Mathematics,2011-2011,Universidad del Cauca,112027538,Department of Computer Science,,,
Wadys Montilla Ortega,Ortega W.,57223970807,9-s2.0-57223970807,,1,2021-06-02,32,32,1,3,new,Education;Engineering (all),2021-2021,Fundación Universitaria de Popayán,60108709,No Aplica,,,
E. L. Ramirez,Ramirez E.,57190337379,9-s2.0-57190337379,,1,2016-07-30,32,32,1,11,update,"Public Health, Environmental and Occupational Health;Virology;Epidemiology",2016-2016,Secretaría de Salud Municipal,116735865,No Aplica,,,
Daniel A. Hoyos,Hoyos D.,57219227551,9-s2.0-57219227551,,1,2020-10-06,31,31,1,7,update,Waste Management and Disposal;Civil and Structural Engineering;Water Science and Technology;Environmental Engineering;Ecological Modeling;Pollution,2020-2020,Universidad del Cauca,125174002,Grupo de Ciencia e Ingeniería en Sistemas Ambientales,,,
J. A. Negret,Negret J.,6602408857,9-s2.0-6602408857,,1,2005-11-28,29,29,1,2,update,Paleontology,2000-2000,Universidad del Cauca,104717549,Museo de Historia Natural,,,
Mario F. Delgado-Noguera,Delgado-Noguera M.,57208874662,9-s2.0-57208874662,0000-0002-1163-2041,1,2021-07-29,28,28,1,10,new,"Medicine (all);Biochemistry, Genetics and Molecular Biology (all)",2014-2014,Universidad del Cauca,104717536,Department of Pediatrics,,,
C. Rincón,Rincón C.,57188654033,9-s2.0-57188654033,,1,2016-04-16,27,27,1,6,update,"Surfaces, Coatings and Films;Materials Chemistry;Process Chemistry and Technology;Ceramics and Composites;Electronic, Optical and Magnetic Materials",2016-2016,Universidad del Cauca,104717527,Department of Physics,,,
Edgar De Jesús Velásquez Rivera,Rivera E.,23028990000,9-s2.0-23028990000,,1,2007-12-15,25,25,1,0,update,History;Cultural Studies,2007-2007,Universidad del Cauca;Pontificia Universidad Católica de Chile,105235707;105235565,Department of History;Department of History,,,
Juliana Muñoz-Martínez,Muñoz-Martínez J.,57188647648,9-s2.0-57188647648,,1,2016-04-16,25,25,1,2,update,"Public Health, Environmental and Occupational Health",2007-2007,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud,,,
Alejandro Erazo,Erazo A.,35213303300,9-s2.0-35213303300,,1,2009-12-24,24,24,1,2,update,Materials Science (all);Condensed Matter Physics,2019-2019,Universidad del Cauca,118488340,Grupo Ciencia y Tecnología de Biomoléculas de interés Agroindustrial – CYTBIA,,,
Jennifer Andrade,Andrade J.,41261025400,9-s2.0-41261025400,,1,2011-07-10,24,24,1,4,update,Computational Theory and Mathematics;Applied Mathematics,2010-2010,Universidad del Cauca,60051434,No Aplica,,,
William Constain,Constain W.,41260907400,9-s2.0-41260907400,,1,2011-07-10,24,24,1,4,update,Computational Theory and Mathematics;Applied Mathematics,2010-2010,Universidad del Cauca,60051434,No Aplica,,,
Leonora Orejuela-Aristizabal,Orejuela-Aristizabal L.,14319140400,9-s2.0-14319140400,,1,2006-09-07,24,24,1,2,update,"Genetics;Environmental Science (all);Environmental Chemistry;Health, Toxicology and Mutagenesis;Genetics (clinical);Toxicology",2006-2006,Universidad del Cauca,104717542,Departamento de Ciencias Fisiológicas,,,
Benjamín Morales,Morales B.,57197049559,9-s2.0-57197049559,,1,2017-11-19,24,24,1,5,update,Medicine (all),2006-2006,Universidad del Cauca,104717570,Departamento de Medicina Social,,,
Amanda Muñoz,Muñoz A.,57194710507,9-s2.0-57194710507,,1,2017-07-11,23,23,1,16,update,"Ecology, Evolution, Behavior and Systematics",2017-2017,Universidad del Cauca,60051434,No Aplica,,,
Alejandro Arboleda,Arboleda A.,52863128500,9-s2.0-52863128500,,1,2011-10-18,23,23,1,16,update,"Ecology, Evolution, Behavior and Systematics",2017-2017,Universidad del Cauca,60051434,No Aplica,,,
Liliana Recaman Mejía,Recaman Mejía L.,57203746827,9-s2.0-57203746827,,1,2018-09-11,23,23,1,7,new,"Atmospheric Science;Global and Planetary Change;Management, Monitoring, Policy and Law;Geography, Planning and Development",2018-2018,Division Acueducto y Alcantarillado de Popayán S.A. E.S.P.;Fundation Procuenca Río Las Piedras (River Las Piedras Watershed Foundation),121318460;121318034, ; ,,,
Maria Virginia Rodríguez,Rodríguez M.,57189461282,9-s2.0-57189461282,,1,2016-06-08,21,21,1,5,update,Critical Care and Intensive Care Medicine,2014-2014,Clínica la Estancia,125690935,Clínica la Estancia,,,
S. González P,González P S.,36634419500,9-s2.0-36634419500,,1,2010-12-02,21,21,1,2,update,Anatomy,2010-2010,Universidad del Cauca,104717553,Departamento de Morfología,,,
Ivan Hernandez,Hernandez I.,57615173500,9-s2.0-57615173500,,1,2022-04-30,21,21,1,8,new,Materials Science (all);Computer Science (all);Engineering (all),2018-2018,Universidad del Cauca,104717554,Telematics Department,,,
G. A. Torres R,Torres R G.,36634924200,9-s2.0-36634924200,,1,2010-12-02,21,21,1,2,update,Anatomy,2010-2010,Universidad del Cauca,109676949,Unidad de Miscrocopia Electrónica,,,
D. Gongora,Gongora D.,6505501846,9-s2.0-6505501846,,1,2005-12-02,21,21,1,16,update,Immunology and Allergy;Genetics;Immunology,1995-1995,Guapi Regional Hospital,117676389,No Aplica,,,
Andrés Hernández-Guzmán,Hernández-Guzmán A.,40461723700,9-s2.0-40461723700,,1,2011-07-04,21,21,1,2,update,Agricultural and Biological Sciences (all),2011-2011,Universidad del Cauca,110719882,Grupo de Estudios en Geología Ecología y Conservación (GECO),,,
Franz X. Faust,Faust F.,57217945995,9-s2.0-57217945995,,1,2020-07-16,20,20,1,3,new,Earth and Planetary Sciences (all),2006-2006,Universidad del Cauca,105535106,Department of Anthropology,,,
Jörg Stamm,Stamm J.,36443114200,9-s2.0-36443114200,,1,2010-09-03,20,20,1,3,update,Earth and Planetary Sciences (all),2006-2006,ECOBAMBOO,109475450,No Aplica,,,
Reinaldo J.M. de Velasco,de Velasco R.,54789578800,9-s2.0-54789578800,,1,2012-01-03,19,19,1,2,update,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous);Food Science;Applied Microbiology and Biotechnology",2011-2011,Universidad del Cauca,104717562,Departamento de Agroindustria,,,
Javier Hoyos García,García J.,57239673000,9-s2.0-57239673000,,1,2021-09-05,19,19,1,16,new,Environmental Engineering;Agronomy and Crop Science,2021-2021,Parque Tecnológico de Innovación del Café - TECNICAFÉ,126802821,No Aplica,,,
Javier Ernesto Burbano,Burbano J.,24175657100,9-s2.0-24175657100,,1,2008-05-19,19,19,1,3,update,Hardware and Architecture;Information Systems;Software,2008-2008,Universidad del Cauca,60051434,No Aplica,,,
Ricardo Camacho-Muñoz,Camacho-Muñoz R.,57219199398,9-s2.0-57219199398,,1,2020-10-02,18,18,1,2,update,Biochemistry;Molecular Biology;Structural Biology,2020-2020,Universidad del Cauca,125166325,Department of Agro-industrial Engineering,,,
M. F. Muñoz,Muñoz M.,55431775700,9-s2.0-55431775700,,1,2012-11-02,17,17,1,2,new,Obstetrics and Gynecology;Anesthesiology and Pain Medicine,2011-2011,Universidad del Cauca,109510232,Department of Anesthesiology,,,
Jesús E. Díaz,Díaz J.,26428677400,9-s2.0-26428677400,,1,2009-04-23,17,17,1,4,new,,2008-2008,Universidad del Cauca,105463331,Departamento de Ciencias Quirúrgicas,,,
Daniel O. Delgado,Delgado D.,26428690000,9-s2.0-26428690000,,1,2009-04-23,17,17,1,4,new,,2008-2008,Universidad del Cauca,105463331,Departamento de Ciencias Quirúrgicas,,,
Karina Yazán,Yazán K.,57194339812,9-s2.0-57194339812,,1,2017-06-06,17,17,1,2,new,Mathematics (all),2017-2017,Universidad del Cauca,104717531,Department of Mathematics,,,
Juan C. Adrada,Adrada J.,26428658500,9-s2.0-26428658500,,1,2009-04-23,17,17,1,4,new,,2008-2008,Universidad del Cauca,105463331,Departamento de Ciencias Quirúrgicas,,,
Jorge E. Carrera,Carrera J.,16038474200,9-s2.0-16038474200,,1,2007-03-24,16,16,1,2,update,Engineering (all),2007-2007,Universidad del Cauca,104717562,Departamento de Agroindustria,,,
Cenayda López,López C.,57196732037,9-s2.0-57196732037,,1,2017-11-18,16,16,1,1,new,Chemistry (all);Materials Science (all),2017-2017,Universidad del Cauca,104717556,Grupo CYTEMAC,,,
Mario F. Sarasty,Sarasty M.,57219724818,9-s2.0-57219724818,,1,2020-11-07,16,16,1,3,new,Education;Computer Science Applications,2020-2020,Universidad del Cauca,104717554,Telematics Department,,,
Adrián Muñoz,Muñoz A.,57213581468,9-s2.0-57213581468,,1,2020-01-20,16,16,1,6,new,Theoretical Computer Science;Computer Science (all),2017-2017,Universidad del Cauca,60051434,No Aplica,,,
Adriana Olaya,Olaya A.,57215487903,9-s2.0-57215487903,,1,2020-03-13,15,15,1,19,update,Multidisciplinary,2020-2020,Secretaría Departamental de Salud del Cauca,113883714,No Aplica,,,
Julio C. Bermudez E,Bermudez E J.,55224012600,9-s2.0-55224012600,,1,2012-05-28,15,15,1,2,update,Waste Management and Disposal;Environmental Engineering;Bioengineering,2007-2007,Universidad del Cauca,108081860,Facultad de Ciencias Agropecuarias,,,
Claudia Montealegre,Montealegre C.,41262267200,9-s2.0-41262267200,,1,2011-07-10,15,15,1,4,update,Computational Theory and Mathematics;Applied Mathematics,2010-2010,Universidad del Cauca,60051434,No Aplica,,,
Alexandra Ortiz,Ortiz A.,36480339400,9-s2.0-36480339400,,1,2010-09-25,15,15,1,4,update,Biomedical Engineering;Health Information Management;Health Informatics,2010-2010,Universidad del Cauca,106022286,Software Engineering Research Group,,,
Anderson Piamba-Dorado,Piamba-Dorado A.,57215505455,9-s2.0-57215505455,,1,2020-03-13,15,15,1,19,update,Multidisciplinary,2020-2020,Secretaría Departamental de Salud del Cauca,113883714,No Aplica,,,
Giovanni Apráez,Apráez G.,57215505566,9-s2.0-57215505566,,1,2020-03-13,15,15,1,19,update,Multidisciplinary,2020-2020,Universidad Nacional de Colombia;Secretaría Departamental de Salud del Cauca,104721292;113883714,Department of Public Health; ,,,
Diana C. Muñoz,Muñoz D.,36480346500,9-s2.0-36480346500,,1,2010-09-25,15,15,1,4,update,Biomedical Engineering;Health Informatics;Health Information Management,2010-2010,Universidad del Cauca,106022286,Software Engineering Research Group,,,
Elizabeth Gómez,Gómez E.,36955146700,9-s2.0-36955146700,,1,2011-08-18,14,14,1,4,update,Medicine (all),2006-2006,Universidad del Cauca,122133169,Grupo,,,
C. ésar A. Collazos,Collazos C.,57019979100,9-s2.0-57019979100,,1,2016-01-02,14,14,1,1,update,Education,2007-2007,Universidad del Cauca,105194737,IDIS Research Group,,,
Ricardo Marin-Calero,Marin-Calero R.,57196245686,9-s2.0-57196245686,,1,2017-11-02,14,14,1,2,new,"Management, Monitoring, Policy and Law;Geography, Planning and Development;Renewable Energy, Sustainability and the Environment",2017-2017,Universidad del Cauca,104717554,Telematics Department,,,
Faiber Botina Anacona,Anacona F.,57212659661,9-s2.0-57212659661,,1,2020-01-07,14,14,1,3,update,Computer Networks and Communications;Electrical and Electronic Engineering,2019-2019,Universidad del Cauca,104717552,Departamento de Telemática,,,
Zamora G. Hilldier,Hilldier Z.,36996977000,9-s2.0-36996977000,,1,2011-03-14,14,14,1,3,update,Aquatic Science;Ecology;Water Science and Technology,2010-2010,Universidad del Cauca,110043908,Exactas y de la Educación,,,
David Silva-Pedroza,Silva-Pedroza D.,57196247876,9-s2.0-57196247876,,1,2017-11-02,14,14,1,2,new,"Renewable Energy, Sustainability and the Environment;Geography, Planning and Development;Management, Monitoring, Policy and Law",2017-2017,Universidad del Cauca,104717554,Telematics Department,,,
Kelly Tatiana Tobar Ortega,Ortega K.,57212654871,9-s2.0-57212654871,,1,2020-01-07,14,14,1,3,update,Computer Networks and Communications;Electrical and Electronic Engineering,2020-2020,Universidad del Cauca,104717552,Departamento de Telemática,,,
María F. Dulcey,Dulcey M.,8941050000,9-s2.0-8941050000,,1,2005-11-29,14,14,1,7,update,Medicine (all);Media Technology;Bioengineering;Nursing (all),2005-2005,Universidad del Cauca,128228282,Department of Telematics,,,
Ángela Lucia Pantoja Matta,Matta Á.,57224400351,9-s2.0-57224400351,,1,2021-06-15,13,13,1,25,new,Water Science and Technology;Aquatic Science,2021-2021,Universidad del Cauca,60051434,No Aplica,,,
Apolinar Figueroa Casas,Casas A.,58181069900,9-s2.0-58181069900,,1,2023-04-20,13,13,1,2,new,Geophysics;Geochemistry and Petrology,2021-2021,Universidad del Cauca,104717530,Department of Biology,,,
Diana Duarte,Duarte D.,35072476300,9-s2.0-35072476300,,1,2009-10-16,13,13,1,5,update,Obstetrics and Gynecology,2009-2009,Universidad del Cauca,60051434,No Aplica,,,
C. Ararat,Ararat C.,57223723279,9-s2.0-57223723279,,1,2021-05-27,13,13,1,2,new,Ceramics and Composites;Mechanics of Materials;Industrial and Manufacturing Engineering,2005-2005,Universidad del Cauca,104717556,Grupo CYTEMAC,,,
Virginia Daza,Daza V.,35072380100,9-s2.0-35072380100,,1,2009-10-16,13,13,1,5,update,Obstetrics and Gynecology,2009-2009,Universidad del Cauca,60051434,No Aplica,,,
Juliana Salazar Benítez,Benítez J.,57198033431,9-s2.0-57198033431,0000-0003-0051-5365,1,2017-12-06,13,13,1,2,update,Geochemistry and Petrology;Geophysics,2021-2021,Universidad del Cauca,112325747,Environmental Studies Group,,,
Marlon Julián Gómez Vargas,Vargas M.,15849270100,9-s2.0-15849270100,,1,2007-03-07,13,13,1,3,update,Engineering (all),2005-2005,Universidad del Cauca,104717561,Grupo de Ingeniería Telemática,,,
Wilson Jurado,Jurado W.,35072766300,9-s2.0-35072766300,,1,2009-10-16,13,13,1,5,update,Obstetrics and Gynecology,2009-2009,Universidad del Cauca,60051434,No Aplica,,,
L. Zambrano-Polanco,Zambrano-Polanco L.,6504095922,9-s2.0-6504095922,,1,2005-11-28,13,13,1,5,update,Agronomy and Crop Science;Plant Science,2000-2000,Universidad del Cauca,60051434,No Aplica,,,
Hermes Fabian Vargas,Vargas H.,56511305900,9-s2.0-56511305900,,1,2015-02-19,13,13,1,1,update,Signal Processing;Computer Vision and Pattern Recognition;Computer Graphics and Computer-Aided Design,2015-2015,Universidad del Cauca,114989861,Electronic Engineering Faculty,,,
Maria Camila Martinez-Ordonez,Martinez-Ordonez M.,57200216728,9-s2.0-57200216728,,1,2018-01-13,12,12,1,3,new,Computer Networks and Communications;Signal Processing;Computer Science Applications,2017-2017,Universidad del Cauca,104717554,Telematics Department,,,
Fredy Jaramillo,Jaramillo F.,56046825200,9-s2.0-56046825200,,1,2014-03-04,12,12,1,6,update,Medicine (all),2013-2013,Universidad del Cauca,114222058,School of Civil Engineering,,,
Nilza Velasco Palomino,Palomino N.,57217532182,9-s2.0-57217532182,,1,2020-07-08,12,12,1,3,update,Toxicology;Neuroscience (all),2020-2020,Universidad del Cauca,104717530,Department of Biology,,,
Diana C. Prado,Prado D.,57216805643,9-s2.0-57216805643,,1,2020-05-21,12,12,1,2,new,"Physical and Theoretical Chemistry;Atomic and Molecular Physics, and Optics;Condensed Matter Physics;Materials Science (all)",2020-2020,Universidad del Cauca,104717527,Department of Physics,,,
Fabián Andrés Hurtado,Hurtado F.,57220401637,9-s2.0-57220401637,,1,2020-12-12,12,12,1,2,new,"Medicine (all);Biochemistry, Genetics and Molecular Biology (all)",2014-2014,Universidad del Cauca;Fundación InnovaGen,104717555;114526629,Grupo de Investigación en Genética Humana Aplicada,,,
L. Arciniegas H. Jose,Jose L.,57198791042,9-s2.0-57198791042,,1,2017-12-11,12,12,1,4,new,Engineering (all);Materials Science (all);Computer Science (all),2017-2017,Universidad del Cauca,104717554,Telematics Department,,,
Juliana Vergara-Reyes,Vergara-Reyes J.,57200213953,9-s2.0-57200213953,,1,2018-01-13,12,12,1,3,new,Computer Networks and Communications;Computer Science Applications;Signal Processing,2017-2017,Universidad del Cauca,104717554,Telematics Department,,,
Alirio R. Ortiz-Martínez,Ortiz-Martínez A.,57189342803,9-s2.0-57189342803,,1,2016-05-31,11,11,1,1,new,Obstetrics and Gynecology,2016-2016,Universidad del Cauca,104717535,Department of Obstetrics and Gynecology,,,
Ginary Lizeth Vargas González,Lizeth Vargas González G.,57225096590,9-s2.0-57225096590,,1,2021-07-10,11,11,1,4,new,"Management, Monitoring, Policy and Law;Economics and Econometrics;Sociology and Political Science;Law",2021-2021,Universidad del Cauca,104717528,Department of Chemistry,,,
Pinzón Fernández María Virginia,María Virginia P.,57215095223,9-s2.0-57215095223,,1,2020-03-03,11,11,1,3,new,Multidisciplinary,2020-2020,Universidad del Cauca,104717539,Department of Internal Medicine,,,
Adriana Carolina Casas-Bustillo,Casas-Bustillo A.,57205705139,9-s2.0-57205705139,0000-0002-1590-3988,1,2019-02-12,11,11,1,4,update,Education,2017-2017,Universidad del Cauca,60051434,No Aplica,00000000002936,"COMUNICACION, SALUD Y DESARROLLO SOCIAL",0001379852
M. Cabrera-Penna,Cabrera-Penna M.,57221097834,9-s2.0-57221097834,,1,2021-01-01,11,11,1,1,new,Chemical Engineering (all);Mechanics of Materials,2020-2020,Universidad del Cauca,104717527,Department of Physics,,,
Luis Gutiérrez,Gutiérrez L.,57225108826,9-s2.0-57225108826,,1,2021-07-10,11,11,1,4,new,"Sociology and Political Science;Law;Management, Monitoring, Policy and Law;Economics and Econometrics",2021-2021,Universidad del Cauca,104717528,Department of Chemistry,,,
Julio César Castillo-R,Castillo-R J.,57185822000,9-s2.0-57185822000,,1,2016-03-27,11,11,1,2,new,Conservation;Museology,2015-2015,Universidad del Cauca,60051434,No Aplica,,,
Diana Marcela Prado-Mosquera,Prado-Mosquera D.,57205700577,9-s2.0-57205700577,0000-0002-6921-1514,1,2019-02-12,11,11,1,4,update,Education,2017-2017,Universidad del Cauca,60051434,No Aplica,,,
Deisy Urmendez-M,Urmendez-M D.,57185811500,9-s2.0-57185811500,,1,2016-03-27,11,11,1,2,new,Conservation;Museology,2015-2015,Universidad del Cauca,60051434,No Aplica,,,
Andrea Catalina Burbano Delgado,Delgado A.,55228734300,9-s2.0-55228734300,,1,2012-06-01,11,11,1,4,new,Multidisciplinary,2011-2011,Universidad del Cauca,60051434,No Aplica,,,
Edwin Yamir Cajas-Paz,Cajas-Paz E.,57205702163,9-s2.0-57205702163,,1,2019-02-12,11,11,1,4,new,Education,2017-2017,Universidad del Cauca,60051434,No Aplica,,,
Paola Liceth Barco Hernández,Hernández P.,55228594200,9-s2.0-55228594200,,1,2012-06-01,11,11,1,4,new,Multidisciplinary,2011-2011,Universidad del Cauca,60051434,No Aplica,,,
Marcela Velasco Granados,Velasco Granados M.,57225089969,9-s2.0-57225089969,,1,2021-07-10,11,11,1,4,new,"Management, Monitoring, Policy and Law;Law;Sociology and Political Science;Economics and Econometrics",2021-2021,Universidad del Cauca,104717528,Department of Chemistry,,,
Ximena Ruiz,Ruiz X.,57206771950,9-s2.0-57206771950,,1,2019-02-28,11,11,1,1,new,Animal Science and Zoology;Agronomy and Crop Science,2018-2018,Universidad del Cauca,117222813,Facultad de Ciencias Agrarias,,,
Agredo Valentina,Valentina A.,57215095124,9-s2.0-57215095124,,1,2020-03-03,11,11,1,3,new,Multidisciplinary,2020-2020,Universidad del Cauca,104717539,Department of Internal Medicine,,,
Elisa Jojoa-Tobar,Jojoa-Tobar E.,57208782007,9-s2.0-57208782007,,1,2019-05-23,10,10,1,5,new,"Food Science;Nutrition and Dietetics;Endocrinology, Diabetes and Metabolism",2019-2019,Universidad del Cauca,122545036,Department of Nursing,,,
Juliana M. Rivera,Rivera J.,16022953500,9-s2.0-16022953500,,1,2007-03-14,10,10,1,2,update,Insect Science,2005-2005,Fundación Universitaria de Popayán,102894863,Programa de Ecología,,,
Laura Daniela Ordierez Zúñiga,Zúñiga L.,57222321225,9-s2.0-57222321225,,1,2021-03-16,10,10,1,2,update,Acoustics and Ultrasonics;Radiological and Ultrasound Technology;Biophysics,2021-2021,Universidad del Cauca,107033300,Grupo de Automática Industrial,,,
Carolina Takegami,Takegami C.,16023202200,9-s2.0-16023202200,,1,2007-03-14,10,10,1,2,update,Insect Science,2005-2005,Fundación Universitaria de Popayán,102894863,Programa de Ecología,,,
A. Tello,Tello A.,56653268700,9-s2.0-56653268700,,1,2015-05-31,10,10,1,10,update,"Public Health, Environmental and Occupational Health;Toxicology;Pollution;Epidemiology",2016-2016,Universidad del Cauca,104717530,Department of Biology,,,
Y. Franco,Franco Y.,54918742100,9-s2.0-54918742100,,1,2012-02-20,10,10,1,4,update,Industrial and Manufacturing Engineering;Ceramics and Composites;Mechanics of Materials,2011-2011,Universidad del Cauca,104717563,Departamento de Física - FACNED,,,
Andrés Felipe Aguirre Aguirre,Felipe Aguirre Aguirre A.,57202984960,9-s2.0-57202984960,,1,2018-07-25,9,9,1,2,new,Software;Law;Hardware and Architecture,2018-2018,Universidad del Cauca,60051434,No Aplica,,,
Carlos Julián Llantén,Llantén C.,36010749900,9-s2.0-36010749900,,1,2010-05-21,9,9,1,3,update,Engineering (all),2009-2009,Universidad del Cauca,108584377,Grupo de investigación y desarrollo en ingeniería de Software,,,
Javier Hoyos,Hoyos J.,57280197500,9-s2.0-57280197500,,1,2021-10-07,9,9,1,4,new,Computer Science Applications;Horticulture;Agronomy and Crop Science;Forestry,2021-2021,Parque Tecnológico de Innovación del Café - TECNICAFÉ,126802821,No Aplica,,,
Adriana E. Lasso-Benavides,Lasso-Benavides A.,14619439700,9-s2.0-14619439700,,1,2006-09-29,9,9,1,2,update,"Public Health, Environmental and Occupational Health",2006-2006,Hospital Universitario San José,101775869,No Aplica,,,
Luis Alexander Peña-López,Peña-López L.,57940985400,9-s2.0-57940985400,,1,2022-10-31,9,9,1,6,new,Advanced and Specialized Nursing;Critical Care Nursing;Critical Care and Intensive Care Medicine;Anesthesiology and Pain Medicine,2020-2020,Hospital Susana López de Valencia,128779104,Department of Intensive Care,,,
Raquel Amalia Vélez-Tobar,Vélez-Tobar R.,58142380200,9-s2.0-58142380200,,1,2023-03-21,9,9,1,2,new,"Public Health, Environmental and Occupational Health;Health Professions  (miscellaneous);Health (social science);Health Policy;Community and Home Care",2019-2019,Universidad del Cauca,60051434,No Aplica,,,
Efraín Alirio Rojas-Galvis,Rojas-Galvis E.,58142520200,9-s2.0-58142520200,,1,2023-03-21,9,9,1,2,new,"Public Health, Environmental and Occupational Health;Health Professions  (miscellaneous);Health Policy;Health (social science);Community and Home Care",2019-2019,Universidad del Cauca,60051434,No Aplica,,,
Sebastian Echeverry,Echeverry S.,57363891500,9-s2.0-57363891500,,1,2021-12-11,9,9,1,5,update,"Leadership and Management;Public Health, Environmental and Occupational Health",2021-2021,Universidad del Cauca,109510232,Department of Anesthesiology,,,
David Muñoz,Muñoz D.,57219197107,9-s2.0-57219197107,,1,2020-10-02,9,9,1,4,new,Information Systems and Management;Management Information Systems;Software;Artificial Intelligence,2020-2020,Universidad del Cauca,112027538,Department of Computer Science,,,
Camilo Andrés Arboleda Pardo,Pardo C.,56175396800,9-s2.0-56175396800,,1,2014-06-05,9,9,1,2,update,Soil Science;Agronomy and Crop Science,2014-2014,Universidad del Cauca,104717528,Department of Chemistry,,,
Edison Benavides,Benavides E.,57364142400,9-s2.0-57364142400,,1,2021-12-11,9,9,1,5,update,"Leadership and Management;Public Health, Environmental and Occupational Health",2021-2021,Universidad del Cauca,109510232,Department of Anesthesiology,,,
C. Villaquirán,Villaquirán C.,57213211614,9-s2.0-57213211614,,1,2020-01-15,9,9,1,2,new,"Condensed Matter Physics;Electronic, Optical and Magnetic Materials",2000-2000,Universidad del Cauca,60051434,No Aplica,,,
Néstor Andrés González,González N.,57202678214,9-s2.0-57202678214,,1,2018-07-01,9,9,1,3,update,Strategy and Management;Management Science and Operations Research;Management Information Systems;Marketing,2018-2018,Universidad del Cauca,120875027,Research Group on Industrial Automation,,,
Karen Viviana Chate García,Chate García K.,57224067807,9-s2.0-57224067807,,1,2021-06-04,9,9,1,2,new,Signal Processing;Control and Systems Engineering;Computer Networks and Communications,2017-2017,Universidad del Cauca,60051434,No Aplica,,,
