nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento,idgruplac,nombre_grupo,idcvlac
María Camila Romo-Fajardo,Romo-Fajardo M.,58086878700,9-s2.0-58086878700,,1,2023-02-06,0,0,0,3,new,Medicine (all),2022-2022,Unidad de Diagnóstico y Cirugía Endoscópica Andes del Sur SAS,129138504,No Aplica,,,
Y. Tarriba-Lezama,Tarriba-Lezama Y.,57209253422,9-s2.0-57209253422,,1,2019-06-17,0,0,0,0,new,Engineering (all);Materials Science (all),2019-2019,Antonio de Arévalo Technological Foundation TECNAR;Universidad del Cauca,122684917;60051434, ; ,,,
Isabela Balcázar,Balcázar I.,57794054500,9-s2.0-57794054500,,1,2022-07-18,0,0,0,4,new,"Computer Science (miscellaneous);Renewable Energy, Sustainability and the Environment;Energy Engineering and Power Technology;Environmental Science (miscellaneous);Management, Monitoring, Policy and Law;Geography, Planning and Development;Computer Networks and Communications;Hardware and Architecture",2022-2022,Universidad del Cauca,104717572,Departamento de Sistemas,,,
Edna Cabrera,Cabrera E.,58089560100,9-s2.0-58089560100,,1,2023-02-09,0,0,0,5,new,"Agricultural and Biological Sciences (all);Environmental Science (all);Biochemistry, Genetics and Molecular Biology (all);Geography, Planning and Development",2022-2022,Universidad del Cauca,113340876,Departamento de Ing. Ambiental,,,
María Camila Castiblanco,Camila Castiblanco M.,57467002900,9-s2.0-57467002900,,1,2022-03-02,0,0,0,3,new,Computer Networks and Communications;Signal Processing;Control and Systems Engineering,2022-2022,Universidad del Cauca,115945793,Information Technology Research Group (GTI),,,
Gildardo Vanegas Muñoz,Muñoz G.,57224070442,9-s2.0-57224070442,,1,2021-06-05,0,0,0,2,new,Social Sciences (miscellaneous);Sociology and Political Science;Social Psychology;Law;Arts and Humanities (miscellaneous),2020-2020,Universidad del Cauca,108560837,Departamento de Ciencia Política,,,
Vctor Alfonso Quintero Bolanos,Quintero Bolanos V.,57219848038,9-s2.0-57219848038,,1,2020-11-13,0,0,0,5,new,Pharmacology (medical);Pharmacology,2020-2020,Fundación Universitaria de Popayán,60108709,No Aplica,,,
Ángela Patricia Tobar,Tobar Á.,57942117000,9-s2.0-57942117000,,1,2022-11-01,0,0,0,3,new,Critical Care and Intensive Care Medicine;Anesthesiology and Pain Medicine;Advanced and Specialized Nursing;Critical Care Nursing,2016-2016,Clínica la Estancia,127657269,Unidad de Cuidado Intensivo Pediátrico,,,
Isabel López Pito,Pito I.,57222509783,9-s2.0-57222509783,,1,2021-03-27,0,0,0,2,update,Law,2021-2021,Universidad del Cauca,60051434,No Aplica,,,
B. Lara,Lara B.,57196966124,9-s2.0-57196966124,,1,2017-11-18,0,0,0,2,new,Obstetrics and Gynecology,1995-1995,Universidad del Cauca,104717557,Depto de Patologia,,,
