idcvlac,nombre,url
0000122427,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-8009-6732
0000232610,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-2945-7763
0000249130,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=36802472400
0000249130,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-3847-3324
0000125759,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57195571806
0001420545,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=56267463200
0000012378,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=35836267800
0000012378,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-4033-2934
0000674435,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=44061138500
0000674435,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-6074-9764
0000232211,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57193917852
0000232211,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-2271-6101
0000246360,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-4571-8273
0000252417,Open Researcher and Contributor ID (ORCID),https://orcid.org/ https://orcid.org/0000-0002-7235-6036
0000122419,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-0033-0347
0000375993,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-9208-6451
0000921220,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=56203696300
0000921220,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-3465-5617
0000198137,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-6081-4581
0001613211,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-9696-0078
0001657859,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=25292349
0000040363,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=60051434
0000040363,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-8117-9465
0001131001,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=56698403700
0001131001,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-8989-7149
0001592406,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-1493-996X
0001248634,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-9508-6796
0001440991,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-8166-4321
0000773832,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-2437-4018
0001588062,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-1478-7791
0000076988,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-4169-0082
0001008269,ResearcherID (Thomson Reuters - WOS),https://publons.com/researcher/4155311/alexander-zuniga-collazos-phd/
0001008269,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=55681528600
0001008269,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-0337-6113
0001008269,Otro,https://scholar.google.es/citations?user=3ReSAswAAAAJ&hl=en&oi=ao
0001209345,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=12144977
0000012114,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=37045537000
0000012114,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-3242-1948
0000449555,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-8889-8905
0001294210,Autor ID (Scopus),https://www.scopus.com/dashboard.uri
0001294210,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-5905-5266
0001650763,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=76320211
0000094798,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-7414-3229
0001390090,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=56134680500
0001390090,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-0253-0545
0000174866,ResearcherID (Thomson Reuters - WOS),https://publons.com/researcher/5241055/paula-garces/
0000174866,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=25280678
0000174866,Open Researcher and Contributor ID (ORCID),https://orcid.org/my-orcid?orcid=0000-0002-7877-0692
0000168084,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-1295-7865
0001459435,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57034252600
0001459435,Open Researcher and Contributor ID (ORCID),https://orcid.org/my-orcid?orcid=0000-0001-9391-5370
0001303503,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-7545-7975
0000110469,ResearcherID (Thomson Reuters - WOS),https://publons.com/researcher/V-5790-2017/
0000110469,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57216811272
0000110469,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-6179-683X
0000110469,Otro,https://www.juliangrijalba.com/
0000110643,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=1061744023
0000676446,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-4334-309X
0001491477,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=1061748117
0001246984,Autor ID (Scopus),https://www.scopus.com/results/authorNamesList.uri?st1=morantes&st2=cesar&origin=searchauthorlookup
0001246984,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-3108-2729
0001481292,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-3541-8995
0000406368,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-5214-8224
0001665856,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-7788-0761
0001488592,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=1086133089
0001488592,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-3619-5842
0001754812,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-3137-1897
0000835994,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=56904347300
0000835994,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-8501-9119
0001344031,ResearcherID (Thomson Reuters - WOS),https://publons.com/researcher/4459314/nixon-correa-munoz/
0001344031,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57195332331
0001344031,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-1604-0755
0001420523,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-0312-4140
0001591161,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=13070253
0001483838,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57238700300
0001483838,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-6652-1701
0000738417,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57198499957
0000738417,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-6582-4129
0000332712,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-9136-6718
0001492802,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-3556-0214
0000738433,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57217200542
0000738433,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-5043-2050
0000738433,Otro,https://publons.com/researcher/1678041/isabel-cristina-rivera-lozada/
0000315168,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-2573-2692
0001399004,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-5206-3976
0001474779,ResearcherID (Thomson Reuters - WOS),https://onepass.westlaw.com/v3/profile/information/personal?productid=ECMES&returnto=https%3A%2F%2Fwww.thomsonreuters.es%2Fes%2Ftienda.html
0001474779,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-2011-0173
0000520748,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=56144658600
0000520748,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-6528-8170
0000268453,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=52021928
0000268453,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-1243-8152
0000588547,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=56107260200
0000588547,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-7589-7233
0001631512,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-4334-8616
0001522397,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-8823-5765
0001389538,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=55990451300
0001389538,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-0146-2894
0001358471,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-8791-331X
0000322741,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-3538-6313
0001632197,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-6699-5061
0001354030,Autor ID (Scopus),https://orcid.org/0000-0002-1500-0973
0001354030,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-1500-0973
0000327778,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-6909-6918
0000507962,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-9623-0334
0001516094,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57202157198
0001516094,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-6156-6425
0000012692,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57202157889
0000012692,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-1805-3461
0000274445,Autor ID (Scopus),https://www.scopus.com/results/authorNamesList.uri?sort=count-f&src=al&sid=358547a2b25bdf559e32b35df854c610&sot=al&sdt=al&sl=49&s=AUTHLASTNAME%28Ramirez+rivera%29+AND+AUTHFIRST%28sofia%29&st1=Ramirez+rivera&st2=sofia&orcidId=&selectionPageSearch=anl&reselectAuthor=false&activeFlag=true&showDocument=false&resultsPerPage=20&offset=1&jtp=false&currentPage=1&previousSelectionCount=0&tooManySelections=
0000274445,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-5419-7713
0000011561,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-4063-8933
0000158037,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-6435-5992
0001337872,Open Researcher and Contributor ID (ORCID),http://orcid.org/0000-0001-5862-8130
0000515442,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-2064-0710
0001259563,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-7979-3581
0000499536,ResearcherID (Thomson Reuters - WOS),https://publons.com/researcher/4474699/jeronimo-londono-prieto/
0000499536,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57190874172
0000499536,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-6572-3715
0000796158,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-2573-6335
0001464184,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-5789-690X
0000545309,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=56363139800
0000545309,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-1912-4893
0000095545,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-2672-4077
0000480592,ResearcherID (Thomson Reuters - WOS),https://publons.com/researcher/3148455/maria-veronica-torres-andrade/
0000480592,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=25280252
0000480592,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-7776-1348
0001357557,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-3472-7027
0001357557,Otro,https://publons.com/researcher/4405607/marialucia-paz-medina/
0000771988,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=31577990
0000771988,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-8032-9257
0000456594,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=12802164700
0000456594,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-8918-4736
0000456594,Otro,https://www.ascofi.org.co/
0000501484,ResearcherID (Thomson Reuters - WOS),https://publons.com/researcher/3142272/sandra-jimena-jacome-velasco/
0000501484,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57200450955
0000501484,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-6605-8377
0000100022,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=1061750476
