idgruplac,verificado,tipo,nombre,lugar,fecha,disponibilidad,institucion,autores
00000000008160,True,Industrial,Sistema Piloto de Trazabilidad Turística,Colombia,2011,Restringido,Departamento del Cauca,"GUSTAVO ADOLFO RAMIREZ GONZALEZ, ANDRES CASTRILLON, ANGELA CHANTRE ASTAIZA, JAVIER ALEXANDER HURTADO HUACA"
00000000000694,True,Industrial,Servidor RsView32 para el Control de Procesos Distribuidos,Colombia,2002,Irrestricta,UNIVERSIDAD DEL CAUCA,"OSCAR AMAURY ROJAS ALVARADO, JAMES ALIRIO CHAVES"
00000000008160,True,Industrial,Concentrador para 384 abonados telefónicos. Fase 1,Colombia,1991,Restricta,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,"RAFAEL RENGIFO PRADO, EDUARDO ROJAS PINEDA, ADOLFO PLAZAS TENORIO, ALVARO RENDON GALLON, RODRIGO ALBERTO CERON MARTINEZ, CARLOS ARTURO LEON R, IVAN SANCHEZ"
00000000000694,True,Servicios,Sistema de Telemetría y Telecontrol del Servicio de Energía Eléctrico,Colombia,2003,Restricta,UNIVERSIDAD DEL CAUCA,"OSCAR AMAURY ROJAS ALVARADO, ANDRES JAVIER ECHEVERRI MUNOZ, JORGE OLMEDO GOMEZ MONDRAGON, FRED EDUARDO MORALES BITAR"
00000000022270,True,Industrial,Empaque compostable para snacks funcionales YELLOW FOODS,Colombia,2020,Restringido,AGRO360 SAS,CLAUDIA MARITZA GAMBOA FRANCO
00000000022270,True,Industrial,Empaque multicapa compostable para snacks de macadamia salada,Colombia,2020,Restringido,Del Alba S. A.,CLAUDIA MARITZA GAMBOA FRANCO
00000000014080,True,Servicios,Construyendo mi Conocimiento,Colombia,2016,No restringido,UNIVERSIDAD DEL CAUCA,"CAROLINA GONZALEZ SERRANO, JORGE ADRIAN MUNOZ VELASCO, EDWARD ALEXIS MOLINA RIVERA"
00000000014080,True,Industrial,Prototipo de sistema de control parental basado en estimación automática de edad extraída de imágenes faciales,Colombia,2017,Restringido,UNIVERSIDAD DEL CAUCA,"MARITZA FERNANDA MERA GAONA, SANDRA MILENA ROA MARTINEZ"
00000000014080,True,Servicios,Cooper. VideoJuego para soportar procesos de evaluacion formativa en el aula,Colombia,2017,No restringido,UNIVERSIDAD DEL CAUCA,CAROLINA GONZALEZ SERRANO
00000000014080,True,Servicios,Tsiunas. Videojuego para prevención de violencias y masculinidades corresponsables,Colombia,2018,No restringido,UNIVERSIDAD DEL CAUCA,CAROLINA GONZALEZ SERRANO
00000000014080,True,Servicios,Terra Explora. VideoJuego Multijugador con Realidad Aumentada,Colombia,2018,No restringido,UNIVERSIDAD DEL CAUCA,"ANDREA MARCELA ORTIZ SAMBONI, CAROLINA GONZALEZ SERRANO"
00000000015873,True,Industrial,ABONO ORGANICO EN ESQUEMA COMUNITARIO EN LAS VEREDAS LA YUNGA Y RÍO HONDO,Colombia,2020,Restringido,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL CAUCA,"DAYSE DELGADO ERASO, GEHOVELL JULIANA VIDAL PINILLA, CLARA MILENA CONCHA LOZADA"
00000000008160,True,Industrial,RPA-84: Control de Centrales AGF por Programa Almacenado,Colombia,1984,Restricta,TELECOM,"ALVARO RENDON GALLON, JAIME BADOS ERASO, HERNANDO OSPINA GALLEGO"
00000000014080,True,Industrial,ExploraGo : Prototipo móvil basado en el contexto para fomentar el aprendizaje activo en museos,Colombia,2019,No restringido,UNIVERSIDAD DEL CAUCA,"CAROLINA GONZALEZ SERRANO, DAVID SANTIAGO GARCIA CHICANGANA, OSCAR SANTIAGO LOPEZ ERAZO"
00000000015901,True,Industrial,EcoEstación,Colombia,2017,Restringido,UNIVERSIDAD DEL CAUCA,"JULIAN ANDRES CAICEDO MUNOZ, JULIO ANDRES MOSQUERA BOLANOS"
00000000002174,True,Industrial,Tampu,Colombia,2002,Restricta,UNIVERSIDAD DEL CAUCA,"FRANCOIS PIERRE GRAVEL, BORGIA ACOSTA, OLGA PATRICIA SOLIS VALENCIA, HELVIA FRIEDA BRAENDLY DE BUCHELI, ANDRES JOSE CASTRILLON MUNOZ, CLARA INES URIBE, HENRI HECTOR JURADO"
00000000002174,True,Industrial,Sensibilización afianzamiento de la identidad cultural y turística para la niñez del Departamento del Cauca,Colombia,2006,Restringido,Ministerio De Cultura De Colombia,CLARA INES URIBE GIRALDO
00000000002174,True,Industrial,Sistema Piloto de Trazabilidad Turística,Colombia,2011,Restringido,Departamento del Cauca,"ANDRES JOSE CASTRILLON MUNOZ, GUSTAVO ADOLFO RAMIREZ GONZALEZ, ANGELA CHANTRE ASTAIZA, JAVIER ALEXANDER HURTADO GUACA"
00000000012079,True,Industrial,Biodiscos para remoción de contaminantes emergentes,Argentina,2017,Restringido,Universidad Nacional De La Plata,NASLY YANID DELGADO ESPINOSA
00000000012079,True,Industrial,Humedales de flujo horizontal para remoción de contaminantes emergentes,Colombia,2018,Restringido,UNIVERSIDAD DEL CAUCA,NASLY YANID DELGADO ESPINOSA
00000000012079,True,Industrial,Columna de adsorción de lecho fijo y flujo descendente con carbón activado en polvo,Argentina,2019,Restringido,Universidad Nacional De La Plata,NASLY YANID DELGADO ESPINOSA
00000000015142,True,Industrial,App Movil BREAK (Dinamizar Pausas Activas),Colombia,2016,Restringido,Centro Agropecuario Sena,JOSE CORTES CARVAJAL
00000000015142,True,Industrial,BEBIDA ENERGIZANTE A BASE DE ALOE VERA,Colombia,2019,Restringido,Servicio Nacional De Aprendizaje Sede Popayan,CLAUDIA ANDREA SUAREZ RAMOS
00000000015901,True,Industrial,EcoSecador de café con base en un sistema solar fotovoltaico,Colombia,2016,Restringido,UNIVERSIDAD DEL CAUCA,"JULIO ANDRES MOSQUERA BOLANOS, JULIAN ANDRES CAICEDO MUNOZ, PABLO EDUARDO CAICEDO RODRIGUEZ, SANDRA PATRICIA CASTILLO LANDINEZ"
00000000010741,True,Industrial,"Planos, Memorias y Cantidades y Presupuestos de obra para 24 trapiches Paneleros Pilotos",Colombia,2007,No restringido,Departamento del Cauca,FREDY EDUARDO LOPEZ DAZA
00000000015901,True,Industrial,SISTEMA DE DETECCIÓN DE AVENIDAS TORRENCIALES,Colombia,2017,No restringido,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL CAUCA,JULIO ANDRES MOSQUERA BOLANOS
00000000015901,True,Industrial,Alevín,Colombia,2018,Restringido,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL CAUCA,"JULIAN ANDRES CAICEDO MUNOZ, JULIO ANDRES MOSQUERA BOLANOS, CARLOS FELIPE LOPEZ CORDOBA, DANIEL RODRIGO ORTEGA ALEGRIA"
00000000015901,True,Industrial,Sistema Electromecánico para el Conteo y Clasificación de Peces Alevinos,Colombia,2019,Restringido,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL CAUCA,"DANIEL RODRIGO ORTEGA ALEGRIA, CARLOS FELIPE LOPEZ CORDOBA, JULIO ANDRES MOSQUERA BOLANOS, JULIAN ANDRES CAICEDO MUNOZ"
00000000015901,True,Industrial,Prototipo recuperación de cianuro,Colombia,2019,Restringido,UNIVERSIDAD DEL CAUCA,MONICA ALEJANDRA MORENO RUANO
00000000015901,True,Industrial,COVIDA,Colombia,2020,Restringido,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL CAUCA,JULIO ANDRES MOSQUERA BOLANOS
00000000002192,True,Servicios,Fincas escuelas agroecológicas: estrategias innovadoras de transferencia y apropiación social de conocimientos locales,Colombia,2018,Restringido,UNIVERSIDAD DEL CAUCA,OLGA LUCIA CADENA DURAN
00000000014080,True,Servicios,Cuetaya Tierra de Colores,Colombia,2019,No restringido,UNIVERSIDAD DEL CAUCA,CAROLINA GONZALEZ SERRANO
00000000018223,True,Industrial,Banco de Calibración medidores de gas,Colombia,2017,Restringido,METREX S.A.,JULLY ANDREA MORENO MARTINEZ
00000000003965,True,Industrial,PLATO DESECHABLE BIODEGRADABLE ELABORADO A PARTIR DE HARINA DE YUCA,Colombia,2016,Restringido,"Ministerio de Ciencia, Tecnología e Innovación.","CAMILO ELIAS MONTILLA BUITRAGO, KAREN DELGADO DELGADO, HECTOR SAMUEL VILLADA CASTILLO, ELSA SUSANA CAJIAO BUITRON, ALCY RENE CERON MOSQUERA"
