idgruplac,verificado,tipo,nombre,lugar,revista,issn,fecha,volumen,fasciculo,paginas,autores
00000000010589,True,Revista de divulgación,Proyectos ¿parques para la ciudad¿,Colombia,Trazsos Diseño,2011-1800,2008,2,,18 - 18,SORY ALEXANDER MORALES FERNANDEZ
00000000010589,True,Revista de divulgación,GREP-Grupo de estudios del Paisaje,Colombia,Trazsos Diseño,2011-1800,2008,2,,15 - 15,FRANCISCO ARCINIEGAS MOLINA
00000000010589,True,Revista de divulgación,El árbol Urbano,Colombia,Trazsos Diseño,2011-1800,2008,2,,16 - 17,FRANCISCO ARCINIEGAS MOLINA
00000000010589,True,Revista de divulgación,"Centro histórico, paisaje para vivir",Colombia,Trazsos Diseño,2011-1800,2009,3,,2 - 2,JUAN CARLOS OLIVAR CASTILLO
00000000010589,True,Revista de divulgación,La educación del arquitecto y el patrimonio cultural del siglo XXI,Colombia,Trazsos Diseño,2011-1800,2009,3,,8 - 9,LILIANA VARGAS AGREDO
00000000010589,True,Revista de divulgación,Bien natural por restaurar?,Colombia,Trazsos Diseño,2011-1800,2009,3,,20 - 20,SANDRA PATRICIA ARTUNDUAGA LOMBO
00000000010589,True,Revista de divulgación,DISEÑO DE UNA PIEDRA ARTIFICIAL,Colombia,Trazsos Diseño,2011-1800,2010,4,,5 - 5,JUAN CARLOS FRANCISCO JOSE DIAZ REALPE
00000000006505,True,Revista de divulgación,Testing environment for precision agriculture supported in IoT,México,Journal Of Circuits Systems And Computers,1870-4069,2017,143,,51 - 61,"GABRIEL ELIAS CHANCHI GOLONDRINO, WILMAR YESID CAMPO MUNOZ"
00000000010589,True,Revista de divulgación,Espacio público incluyente y humano,Colombia,Trazsos Diseño,2011-1800,2011,5,,50 - 60,LORENA VILLAQUIRAN LOPEZ
00000000002175,True,Revista de divulgación,El gen de la discordia,México,Revista Cultural Mexicana Engarce,2448-5438,2021,6,6,38 - 41,JORGE ALBERTO LOPEZ GUZMAN
