idcvlac,nombre,fecha
0000411884,"ORDEN DE MERITO INVESTIGATIVO,FUNDACION UNIVERSITARIA DE POPAYAN",2022
0000267244,"Premio Nacional de la Ganaderia,Federación De Ganaderos De Colombia - Fedegan",2009
0000267244,"Investigador Destacado,UNIVERSIDAD DEL CAUCA",2015
0000267244,Reconocimiento por invaluable aporte al fortalecimiento organizativo,2017
0000267244,Trayectoria investigativa,2018
0000267244,participación y aporte como padrino tecnológico,2018
0000267244,Mención Meritoria,2019
0000267244,"Mencion meritoria,UNIVERSIDAD DEL CAUCA",2021
0000267244,"Mencion meritoria año 2018,UNIVERSIDAD DEL CAUCA",2018
0000347485,"Primer lugar con el poster ¿ Utilización de microorganismos eficientes (EM), como alternativa de manejo en efluentes porcícolasdel Departamento del Cauca¿ en la sesión de Taxonomía y Ecología de Organismos Acuáticos del 14 de noviembre de 2008,Asociación Colombiana De Limnología",2008
0000347485,"I Jornada Ambiental  - Facultad de Ciencias Agropecuarias,UNIVERSIDAD DEL CAUCA",2006
0000347485,Tesis Meritoria,2008
0000347485,"Exaltar la labor realizada por los directores de los proyectos del fondo de Ciencia Tecnología e Innovación, financiados por el Sistema General de Regalías para el Departamento del Cauca,UNIVERSIDAD DEL CAUCA",2015
0000347485,"Tesis Meritoria,UNIVERSIDAD DEL CAUCA",2019
0000720011,"Mejor Docente Facultad de Ingeniería programa de Ingeniería Informática,Colegio Mayor Del Cauca - Institución Universitaria",2016
0000720011,"Compromiso, responsabilidad y participación Activa en la Institución,Colegio Mayor Del Cauca - Institución Universitaria",2017
0000720011,"Beca Colciencias Doctorados Nacionales Convocatoria 785 de 2017,Colciencias",2017
0000720011,"Excelente Labor Docente en la Facultad de Ingenierías-Programa de Ingeniería informática,Institución Universitaria Colegio Mayor del Cauca",2018
0000720011,"Beca otorgada para la realización del curso en Dispositivos fotovoltaicos y optoelectrónicos. Diseño y desarrollo de tecnologías limpias y sustentables. Aplicación e impacto social,CENTRO LATINOAMERICANO DE FORMACIÓN INTERDISCIPLINARIA (CELFI)-SUSTENTABILIDAD Y DESARROLLO",2019
0001237675,"Beca por mejor promedio de notas en primer semestre de pregrado,UNIVERSIDAD DEL CAUCA",2001
0001237675,"Beca por excelencia academica en posgrado I semestre,Universidad Nacional de Colombia - Sede Palmira",2008
0001237675,"Beca por excelencia academica en posgrado II semestre,Universidad Nacional de Colombia - Sede Palmira",2008
0001237675,"Beca por excelencia academica en posgrado III semestre,Universidad Nacional de Colombia - Sede Palmira",2009
0001237675,"Beca por excelencia academica en posgrado IV semestre,Universidad Nacional de Colombia - Sede Palmira",2009
0001370725,"Mensiòn de Honor por tesis,UNIVERSIDAD DEL CAUCA",2010
0001370725,"Reconocimiento por la loable labor desempeñada al frente de la institución  ,Corporación Autónoma Regional del Cauca",2014
0001370725,"Mejor promedio estudiante de posgrado,UNIVERSIDAD NACIONAL DE COLOMBIA",2014
0001370725,"Mejor promedio estudiante de posgrado,UNIVERSIDAD NACIONAL DE COLOMBIA",2015
0001370725,"Tesis meritoria,UNIVERSIDAD DEL CAUCA",2019
0001370725,"Mención de honor,UNIVERSIDAD DEL CAUCA",2018
0001370725,"Tesis aprobada mediante resolución N° 41 de abril 30 de 2020 por el Consejo de Facultad de Ciencias Agrarias,UNIVERSIDAD DEL CAUCA",2020
0001370725,"Trabajo de grado aprobado mediante resolución N° 285 de 2019 del Consejo de Facultad de Ciencias Agrarias,UNIVERSIDAD DEL CAUCA",2019
0001370725,"Trabajo de grado aprobado mediante resolución N° 202 de 2019 del Consejo de Facultad de Ciencias Agrarias. ,UNIVERSIDAD DEL CAUCA",2019
0001370725,"Mención de honor ,UNIVERSIDAD DEL CAUCA",2019
0001370725,"Trabajo de grado aprobado mediante resolución N° 17 de 2020 por el Consejo de Facultad de Ciencias Agrarias,UNIVERSIDAD DEL CAUCA",2020
0001370725,"Trabajo de grado aprobado mediante resolución N° 165 de 2020 por el Consejo de Facultad de Ciencias Agrarias,UNIVERSIDAD DEL CAUCA",2020
0001370725,"Trabajo de grado aprobado mediante resolución N° 157 de 2020 por el Consejo de Facultad de Ciencias Agrarias,UNIVERSIDAD DEL CAUCA",2020
0001370725,"Trabajo de grado aprobado mediante resolución N° 2 de 2021 por el Consejo de Facultad de Ciencias Agrarias,UNIVERSIDAD DEL CAUCA",2021
0001370725,"Trabajo de grado aprobado mediante resolución N° 164 de 2020 por el Consejo de Facultad de Ciencias Agrarias,UNIVERSIDAD DEL CAUCA",2020
0001370725,"Trabajo de grado aprobado mediante resolución N° 6 de 2021 por el Consejo de Facultad de Ciencias Agrarias,UNIVERSIDAD DEL CAUCA",2021
0001370725,"Tesis meritoria,Universidad Autónoma de Tamaulipas",2020
0001467296,"Reconocimiento al grupo de investigacion en bioquimica y nutricion animal GIBNA, por el desarrollo invaluable de la labor en equipo en los procesos de investigacion,Universidad Pedagógica Y Tecnológica De Colombia - Uptc - Sede Tunja",2016
0000018449,"Mención de honor,UNIVERSIDAD DEL CAUCA",2021
0000349941,"Tesis Meritoria Pre grado,UNIVERSIDAD DE NARIÑO",1989
0000169151,"Matricula de Honor,UNIVERSIDAD DEL CAUCA",2015
0000039315,"Mención de Honor al trabajo de grado ""Evaluación de la calidad del suelo entres sistemas ganaderos del Valle del Patía"",UNIVERSIDAD DEL CAUCA",2019
0001474092,"Matricula de Honor ,UNIVERSIDAD DEL CAUCA",2006
0001474092,"Media Matricula de Honor ,UNIVERSIDAD DEL CAUCA",2007
0001474092,"Media Matricula de Honor ,UNIVERSIDAD DEL CAUCA",2011
0001637639,"Invaluable aporte al fortalecimiento organizativo, desarrollo e innovación agrosostenible y cultural de la región del valle del Patía,Cooperativa Agropecuaria de Usuarios Campesinos de Patia",2017
0001243306,"Trayectoria investigativa, calidad de producción y excelencia científica y por clasificación como Investigador Junior,UNIVERSIDAD DEL CAUCA",2022
0001464030,"Mención honorifica a trabajo de grado de maestría,UNIVERSIDAD DEL CAUCA",2016
0001408212,"Matricula de honor mejor estudiante ,UNIVERSIDAD NACIONAL DE COLOMBIA",2015
0000044115,"Tesis meritoria,UNIVERSIDAD DEL CAUCA",2019
