idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,plataforma,ambiente,palabras,areas,sectores
0001358964,"GABRIEL MAURICIO RAMIREZ VILLEGAS, GEYNER ANDRES LOPEZ, RUBEN DARIO SANCHEZ HERNANDEZ",Aplicacion Movil para Reciclar,Computacional,False,Aplicacion Recyclar,,Colombia,2013,Android,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones","Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible"
0001358964,"GABRIEL MAURICIO RAMIREZ VILLEGAS, HAROLD GIOVANNI URIBE",Aplicacion Movil Ayudame,Computacional,False,Aplicacion Movil Ayudame,,Colombia,2013,Android,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001358964,"GABRIEL MAURICIO RAMIREZ VILLEGAS, FABIAN MARINO",Cliente de Twitter Otwi para Sistema Operativo Android,Computacional,False,Cliente de Twitter Otwi,,Colombia,2010,Sistema Android,Cliente Servidor Web,ANDROID;APLICACION ;Computacion Movil;MOVIL;SISTEMA OPERATIVO,Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Computación,Desarrollo de programas (software) y prestación de servicios en informática
0001358964,"ANA MARIA MONTOYA BURITICA, HOLBEIN GUTIERREZ, GABRIEL MAURICIO RAMIREZ VILLEGAS",Laberintos para Android,Computacional,False,Laberinto,,Colombia,2011,Android,Computacion Movil,No Aplica,Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Computación,Desarrollo de programas (software) y prestación de servicios en informática
0001358964,"JEFERSON ARANGO LOPEZ, GABRIEL MAURICIO RAMIREZ VILLEGAS",DISCOVERING-EAM,Computacional,False,DISCOVERING-EAM,,Colombia,2019,Android,Dispositivos Móviles,Software;APLICACION ;MOVIL;Desarrollo de Software,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Educación
0001358964,"JEFERSON ARANGO LOPEZ, GABRIEL MAURICIO RAMIREZ VILLEGAS",PLATAFORMA DE GESTION Y SEGUIMIENTO DE VISITAS EMPRESARIALES,Computacional,False,,,Colombia,2019,Android,Móvil y Web,ANDROID;APLICACION ;Bases de Datos;Computacion Movil,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones","Productos y servicios de recreación,culturales, artísticos y deportivos"
0000617326,JAVIER ALEJANDRO JIMENEZ TOLEDO,SIMULADOR PARA PRONOSTICO DE CAFE VARIEDAD COLOMBIA,Computacional,False,,,Colombia,2000,MICROSOFT DESKJET,VISUAL BASIC,SIMULADOR CAFE,Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Computación,"Agricultura, pecuaria, silvicultura, explotación forestal"
0000617326,JAVIER ALEJANDRO JIMENEZ TOLEDO,SOFTWARE DE REGISTRO DOCENTE,Computacional,False,,,Colombia,2004,VISUAL BASIC,MICROFOST DESKJET,SOFTWARE REGISTRO Y CONTROL,Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Computación,Desarrollo de programas (software) y prestación de servicios en informática
0000617326,JAVIER ALEJANDRO JIMENEZ TOLEDO,Software de facturación de acueducto para AcuaBuesaco,Computacional,False,Software de facturación de acueducto para AcuaBuesaco,,Colombia,2012,,,Sistema de Información;SOFTWARE REGISTRO Y CONTROL;SISTEMAS DE INFORMACION;TIC;informática,Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Computación,Desarrollo de programas (software) y prestación de servicios en informática
0000617326,JAVIER ALEJANDRO JIMENEZ TOLEDO,SIMULADOR DE PEONOSTICO DE CAFE VARIEDAD COLOMBIA,Computacional,False,,,Colombia,2000,MICROSOFT DESKJET,VISUAL BASIC,SIMULADOR CAFE,Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Computación,Desarrollo de programas (software) y prestación de servicios en informática
0000617326,"JAVIER ALEJANDRO JIMENEZ TOLEDO, ROBINSON ANDRES JIMENEZ TOLEDO, GIOVANNI ALBEIRO HERNANDEZ PANTOJA",DESTILAR SOFTWARE PARA ANÁLISIS DE DATOS DE FORMA CUALITATIVA UTILIZANDO LA TÉCNICA DE DESTILACIÓN DE INFORMACIÓ,Computacional,False,Javier Alejandro Jiménez Toledo,13-60-73,Colombia,2017,Moodle,Moodle,No Aplica,No Aplica,No Aplica
0000617326,JAVIER ALEJANDRO JIMENEZ TOLEDO,Ambiente Virtual de Aprendizaje Electiva profesional I: Realidad Virtual,Multimedia,False,Ambiente Virtual de Aprendizaje Electiva profesional I: Realidad Virtual,,Colombia,2014,Moodle,Educativo,AMBIENTES VIRTUALES DE APRENDIZAJE;Educación Virtual;Estrategia Didáctica;Ingeniería de Sistemas;Realidad Aumentada;TIC,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0000617326,JAVIER ALEJANDRO JIMENEZ TOLEDO,Sistema de información componente del plan de Desarrollo Institucional de la Empresa de servicios Públicos de Sandona,Computacional,False,,,Colombia,2001,,,Sistema de Información;SOFTWARE REGISTRO Y CONTROL;informática;TIC,Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Computación,Desarrollo de programas (software) y prestación de servicios en informática
0000617326,"JAVIER ALEJANDRO JIMENEZ TOLEDO, JOSE MARIA MUNOZ BOTINA, ARMANDO MUNOZ",Apolo 21. Pizarra digital on line,Multimedia,False,Apolo 21,,Colombia,2011,,,Pizarra On Line;Apolo 21;E-LEARNING;Educación;Educación Virtual;TIC;Sistema Gestor de Aprendizaje,Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Computación,Desarrollo de programas (software) y prestación de servicios en informática
